date,Location,state,Class,Variety,grade,Units,Transmode,bid_low,bid_high,Pricing Point,Delivery Period
01/07/2000,Mountain Area, CO,ALFALFA,,GOOD,Ton,Truck,75,75,FOB,30 Day Delivery
01/07/2000,Mountain Area, CO,GRASS,,GOOD,Ton,Truck,60,70,FOB,30 Day Delivery
01/07/2000,Mountain Area, CO,GRASS,,PREMIUM,Ton,Truck,90,95,FOB,30 Day Delivery
01/07/2000,Mountain Area, CO,GRASS,,FAIR,Ton,Truck,50,60,FOB,30 Day Delivery
01/07/2000,Northeast Colorado, CO,ALFALFA,,FAIR,Ton,Truck,40,50,FOB,30 Day Delivery
01/07/2000,Northeast Colorado, CO,GRASS,,GOOD,Ton,Truck,55,55,FOB,30 Day Delivery
01/07/2000,Northeast Colorado, CO,ALFALFA,,GOOD,Ton,Truck,55,65,FOB,30 Day Delivery
01/07/2000,San Luis Valley, CO,ALFALFA,,FAIR,Ton,Truck,35,40,FOB,30 Day Delivery
01/07/2000,San Luis Valley, CO,ALFALFA,,GOOD,Ton,Truck,50,60,FOB,30 Day Delivery
01/07/2000,San Luis Valley, CO,ALFALFA,,PREMIUM,Ton,Truck,90,105,FOB,30 Day Delivery
01/07/2000,South Western Colorado, CO,ALFALFA,,PREMIUM,Ton,Truck,90,95,FOB,30 Day Delivery
01/07/2000,South Western Colorado, CO,ALFALFA,,GOOD,Ton,Truck,70,70,FOB,30 Day Delivery
01/07/2000,Southeast Colorado, CO,ALFALFA,,GOOD,Ton,Truck,70,75,FOB,30 Day Delivery
01/07/2000,Southeast Colorado, CO,ALFALFA,,FAIR,Ton,Truck,35,40,FOB,30 Day Delivery
01/07/2000,Southeast Colorado, CO,ALFALFA,,PREMIUM,Ton,Truck,90,100,FOB,30 Day Delivery
01/07/2000,Western Slope Area, CO,ALFALFA,,PREMIUM,Ton,Truck,80,80,FOB,30 Day Delivery
01/07/2000,Western Slope Area, CO,ALFALFA,,GOOD,Ton,Truck,75,75,FOB,30 Day Delivery
01/14/2000,Mountain Area, CO,GRASS,,FAIR,Ton,Truck,50,60,FOB,30 Day Delivery
01/14/2000,Mountain Area, CO,ALFALFA,,GOOD,Ton,Truck,75,75,FOB,30 Day Delivery
01/14/2000,Mountain Area, CO,GRASS,,PREMIUM,Ton,Truck,90,95,FOB,30 Day Delivery
01/14/2000,Mountain Area, CO,GRASS,,GOOD,Ton,Truck,60,70,FOB,30 Day Delivery
01/14/2000,Northeast Colorado, CO,GRASS,,GOOD,Ton,Truck,55,55,FOB,30 Day Delivery
01/14/2000,Northeast Colorado, CO,ALFALFA,,GOOD,Ton,Truck,55,65,FOB,30 Day Delivery
01/14/2000,Northeast Colorado, CO,ALFALFA,,PREMIUM,Ton,Truck,85,85,FOB,30 Day Delivery
01/14/2000,Northeast Colorado, CO,ALFALFA,,FAIR,Ton,Truck,40,50,FOB,30 Day Delivery
01/14/2000,San Luis Valley, CO,ALFALFA,,PREMIUM,Ton,Truck,85,95,FOB,30 Day Delivery
01/14/2000,San Luis Valley, CO,ALFALFA,,GOOD,Ton,Truck,70,70,FOB,30 Day Delivery
01/14/2000,San Luis Valley, CO,ALFALFA,,FAIR,Ton,Truck,35,35,FOB,30 Day Delivery
01/14/2000,South Western Colorado, CO,ALFALFA,,FAIR,Ton,Truck,35,35,FOB,30 Day Delivery
01/14/2000,South Western Colorado, CO,ALFALFA,,PREMIUM,Ton,Truck,85,95,FOB,30 Day Delivery
01/14/2000,South Western Colorado, CO,ALFALFA,,GOOD,Ton,Truck,70,70,FOB,30 Day Delivery
01/14/2000,Southeast Colorado, CO,ALFALFA,,FAIR,Ton,Truck,35,40,FOB,30 Day Delivery
01/14/2000,Southeast Colorado, CO,ALFALFA,,PREMIUM,Ton,Truck,90,100,FOB,30 Day Delivery
01/14/2000,Southeast Colorado, CO,ALFALFA,,GOOD,Ton,Truck,70,75,FOB,30 Day Delivery
01/14/2000,Western Slope Area, CO,ALFALFA,,PREMIUM,Ton,Truck,80,80,FOB,30 Day Delivery
01/14/2000,Western Slope Area, CO,ALFALFA,,GOOD,Ton,Truck,75,75,FOB,30 Day Delivery
01/21/2000,Mountain Area, CO,ALFALFA,,GOOD,Ton,Truck,75,75,FOB,30 Day Delivery
01/21/2000,Mountain Area, CO,GRASS,,PREMIUM,Ton,Truck,90,95,FOB,30 Day Delivery
01/21/2000,Mountain Area, CO,GRASS,,GOOD,Ton,Truck,60,70,FOB,30 Day Delivery
01/21/2000,Mountain Area, CO,GRASS,,FAIR,Ton,Truck,50,60,FOB,30 Day Delivery
01/21/2000,Northeast Colorado, CO,GRASS,,GOOD,Ton,Truck,55,55,FOB,30 Day Delivery
01/21/2000,Northeast Colorado, CO,ALFALFA,,GOOD,Ton,Truck,55,65,FOB,30 Day Delivery
01/21/2000,Northeast Colorado, CO,ALFALFA,,PREMIUM,Ton,Truck,85,85,FOB,30 Day Delivery
01/21/2000,Northeast Colorado, CO,ALFALFA,,FAIR,Ton,Truck,40,50,FOB,30 Day Delivery
