month,location,class,variety,grade description,units,transmode,bid_low,bid_high,pricing point,delivery period
2001-01-01,"Augusta, AR",YELLOW,,US NO 2,Bushel,Truck,2.12,2.12,Country Elevators,New Crop
2001-01-01,"Blytheville, AR",YELLOW,,US NO 2,Bushel,Truck,2.19,2.19,Country Elevators,New Crop
2001-01-01,"Helena, AR",YELLOW,,US NO 2,Bushel,Truck,2.17,2.17,Country Elevators,New Crop
2001-01-01,"Old Town/Elaine, AR",YELLOW,,US NO 2,Bushel,Truck,2.12,2.12,Country Elevators,New Crop
2001-01-01,"Osceola, AR",YELLOW,,US NO 2,Bushel,Truck,2.23,2.23,Country Elevators,New Crop
2001-01-01,"Pine Bluff, AR",YELLOW,,US NO 2,Bushel,Truck,2.17,2.17,Country Elevators,New Crop
2001-01-01,"Los Angeles, CA",YELLOW,,US NO 2,Cwt,Rail,5.26,5.32,Mills and Processors,10 Day Delivery
2001-01-01,"Petaluma, CA",YELLOW,,US NO 2,Cwt,Truck,5.16,5.2,Mills and Processors,10 Day Delivery
2001-01-01,"Stockton - Modesto - Oakdale - Turlock, CA",YELLOW,,US NO 2,Cwt,Truck,5.08,5.16,Mills and Processors,10 Day Delivery
2001-01-01,"Denver, CO",YELLOW,,US NO 2,Cwt,Truck-Rail,3.86,3.86,Terminal Elevators,Cash
2001-01-01,"Southeast Colorado, CO",YELLOW,,US NO 2,Bushel,Truck,1.94,2.29,Country Elevators,Cash
2001-01-01,"Mississippi River & Northern Iowa, IA",YELLOW,,US NO 2,Bushel,Barge,2.02,2.02,Barge Loading Elevators,Cash
2001-01-01,"Mississippi River & Southern Iowa, IA",YELLOW,,US NO 2,Bushel,Barge,1.99,2.04,Barge Loading Elevators,Cash
2001-01-01,"North Central Iowa, IA",YELLOW,,US NO 2,Bushel,Truck,1.75,1.85,Country Elevators,Cash
2001-01-01,"North East Iowa, IA",YELLOW,,US NO 2,Bushel,Truck,1.77,1.96,Country Elevators,Cash
2001-01-01,"North West Iowa, IA",YELLOW,,US NO 2,Bushel,Truck,1.78,1.86,Country Elevators,Cash
2001-01-01,"Sorth Central Iowa, IA",YELLOW,,US NO 2,Bushel,Truck,1.81,1.93,Country Elevators,Cash
2001-01-01,"South East Iowa, IA",YELLOW,,US NO 2,Bushel,Truck,1.82,1.94,Country Elevators,Cash
2001-01-01,"South West Iowa, IA",YELLOW,,US NO 2,Bushel,Truck,1.75,1.84,Country Elevators,Cash
2001-01-01,"Central Illinois, IL",YELLOW,,US NO 2,Bushel,Truck,1.98,1.98,Country Elevators,Cash
