year,month,location,state,units,transmode,bid_low,bid_high,pricing point,bid_avg,price_cwt,spread,price_lag,price_diff,diff_pct,price_inc,None,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,D0_lag3,D1_lag3,D2_lag3,D3_lag3,D4_lag3,D0_lag4,D1_lag4,D2_lag4,D3_lag4,D4_lag4,D0,D1,D2,D3,D4
2001,1,Denver,CO,Cwt,Truck-Rail,3.86,3.86,Terminal Elevators,3.86,3.86,0,NA,NA,NA,NA,155.66,0,0,0,0,0,12.07,0,0,0,0,31.131999999999998,31.131999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,Southeast Colorado,CO,Bushel,Truck,1.94,2.29,Country Elevators,2.115,3.916666666666667,0.3500000000000001,NA,NA,NA,NA,1879.96,0,0,0,0,0,0,0,0,0,0,1048.9015,512.4155000000001,6.741,0,0,1341.500625,121.965625,1.899375,0,0,0,0,0,0,0
2001,2,Denver,CO,Cwt,Truck-Rail,3.76,3.76,Terminal Elevators,3.76,3.76,0,3.86,-0.1,-0.0266,-1,155.66,0,0,0,0,0,0,0,0,0,0,12.07,0,0,0,0,31.131999999999998,31.131999999999998,0,0,0,0,0,0,0,0
2001,2,Southeast Colorado,CO,Bushel,Truck,1.88,2.26,Country Elevators,2.07,3.833333333333333,0.3799999999999999,2.115,-0.045,-0.0217,-1,1879.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.9015,512.4155000000001,6.741,0,0,0,0,0,0,0
2001,3,Denver,CO,Cwt,Truck-Rail,3.79,3.79,Terminal Elevators,3.79,3.79,0,3.76,0.03,0.0079,1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.07,0,0,0,0,0,0,0,0,0
2001,3,Southeast Colorado,CO,Bushel,Truck,1.92,2.23,Country Elevators,2.075,3.8425925925925926,0.31000000000000005,2.07,0.005,0.0024,1,1879.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,Denver,CO,Cwt,Truck-Rail,3.65,3.65,Terminal Elevators,3.65,3.65,0,3.79,-0.14,-0.0384,-1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,Southeast Colorado,CO,Bushel,Truck,1.86,2.17,Country Elevators,2.015,3.7314814814814814,0.30999999999999983,2.075,-0.06,-0.0298,-1,1879.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5,Denver,CO,Cwt,Truck-Rail,3.45,3.45,Terminal Elevators,3.45,3.45,0,3.65,-0.2,-0.058,-1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5,Southeast Colorado,CO,Bushel,Truck,1.78,2.07,Country Elevators,1.9249999999999998,3.5648148148148144,0.2899999999999998,2.015,-0.09,-0.0468,-1,1879.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,Denver,CO,Cwt,Truck-Rail,3.29,3.41,Terminal Elevators,3.35,3.35,0.1200000000000001,3.45,-0.1,-0.0299,-1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6,Southeast Colorado,CO,Bushel,Truck,1.77,2.13,Country Elevators,1.95,3.6111111111111107,0.3599999999999999,1.9249999999999998,0.025,0.0128,1,1879.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,Denver,CO,Bushel,Truck-Rail,1.94,2.18,Terminal Elevators,2.06,3.8148148148148144,0.2400000000000002,3.35,-1.29,-0.6262,-1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,Southeast Colorado,CO,Bushel,Truck,1.93,2.25,Country Elevators,2.09,3.87037037037037,0.32000000000000006,1.95,0.14,0.067,1,1861.9685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.991,0,0,0,0
2001,8,Denver,CO,Bushel,Truck-Rail,2.08,2.19,Terminal Elevators,2.135,3.953703703703703,0.10999999999999988,2.06,0.075,0.0351,1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,8,Southeast Colorado,CO,Bushel,Truck,1.96,2.28,Country Elevators,2.12,3.9259259259259265,0.31999999999999984,2.09,0.03,0.0142,1,1879.96,17.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
