station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
hne01,2000-02-14,19.8,21.31,17:27:00,18.3,23:48:00,0.37,0.165,16:30:00,0.158,19:02:00,0,15.45,0,21.55,16:31:00,18.88,23:56:00,21.91,16:30:00,18.96,23:55:00,13.33,,,,,0.370983,0.065629,
hne01,2000-02-15,17.24,18.44,00:00:00,16.11,07:46:00,0.316,0.164,09:32:00,0.158,00:03:00,0,15.45,0,18.89,00:00:00,16.72,08:34:00,18.98,00:00:00,16.71,08:37:00,13.37,,,,,0.350912,0.568336,0.314427
hne01,2000-02-16,19.19,25.28,16:36:00,15.05,07:47:00,0.373,0.173,15:20:00,0.159,00:00:00,0.002,15.45,0,23.12,23:48:00,15.69,08:42:00,23.86,23:48:00,15.72,08:46:00,13.21,,,,,0.394412,0.49769,0.363557
hne01,2000-02-17,24.78,25.45,11:22:00,24.04,22:01:00,0.503,0.165,03:03:00,0.153,23:57:00,0.008,15.45,0,23.71,13:59:00,22.87,23:53:00,24.72,14:52:00,23.81,00:51:00,13.21,,,,,0.409166,0.262683,0.412225
hne01,2000-02-18,24.9,25.58,14:12:00,24.1,01:39:00,0.48,0.156,00:00:00,0.148,23:00:00,0.006,15.45,0,23.91,14:08:00,22.87,00:17:00,24.51,13:06:00,23.97,01:26:00,13.22,,,,,0.412658,0.460133,0.416933
hne01,2000-02-19,24.84,25.51,11:39:00,24.37,01:39:00,0.456,0.15,00:44:00,0.142,07:44:00,0.006,15.45,0,23.94,14:06:00,22.99,04:34:00,24.52,14:06:00,23.97,23:58:00,13.22,,,,,0.415934,0.762335,0.419939
hne01,2000-02-20,24.81,25.38,11:18:00,24.24,00:08:00,0.437,0.144,00:16:00,0.135,07:56:00,0.005,15.45,0,23.72,14:13:00,22.98,03:31:00,24.34,15:50:00,23.93,04:48:00,13.21,,,,,0.417726,0.973499,0.42225
hne01,2000-02-21,24.53,25.92,12:30:00,9.76,23:54:00,0.433,0.143,18:40:00,0.129,23:33:00,0.004,15.57,4.318,24.53,14:19:00,10.82,00:00:00,24.92,14:21:00,10.77,00:00:00,12.78,,,,,0.431889,1.61938,0.422777
hne01,2000-02-22,7.81,20.98,13:20:00,,,0.315,0.954,22:43:00,,,1.297,211.7,17.78,19.83,13:19:00,,,19.01,13:19:00,,,12.55,,,,,,,
hne01,2000-02-23,8.82,17.05,15:19:00,1.192,20:54:00,0.463,0.904,00:00:00,0.187,14:28:00,18.56,244.8,0,14.6,15:37:00,4.201,07:47:00,9.87,18:19:00,5.749,09:36:00,12.89,,,,,4.88872,4.82586,4.75072
hne01,2000-02-24,9.33,17.33,12:30:00,0.129,04:45:00,0.377,0.733,22:41:00,0.171,13:14:00,13.97,406.1,0,12.04,15:01:00,4.154,07:08:00,8.91,18:09:00,6.18,09:25:00,12.85,,,,,6.53196,5.23245,6.40462
