station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
ksy01,1999-01-02,-5.929,-1.041,12:10:00,-9.56,00:00:00,0.307,0.998,08:18:00,0.554,12:16:00,5.732,351.5,0,-0.177,00:04:00,-0.916,23:51:00,0.136,22:24:00,-0.009,00:07:00,13.45,,,,,1.13162,1.77166,0.806056
ksy01,1999-01-03,-8.11,-3.754,14:30:00,-12.3,07:53:00,0.251,0.953,07:56:00,0.565,14:32:00,7.89,213.3,0,-0.907,00:00:00,-3.111,08:46:00,0.16,04:34:00,0.051,23:50:00,13.46,,,,,0.802714,1.22905,0.720437
ksy01,1999-01-04,-3.974,1.138,15:33:00,-8.55,05:11:00,0.373,0.969,23:58:00,0.599,15:09:00,4.175,138.2,0,-1.189,22:23:00,-2.655,08:05:00,0.079,00:26:00,-0.138,14:35:00,13.37,,,,,0.820922,0.63927,0.658398
ksy01,1999-01-05,1.698,11.15,13:18:00,-3.036,07:35:00,0.525,0.993,07:35:00,0.381,13:21:00,5.927,193.6,0,-0.822,23:52:00,-1.358,09:14:00,-0.071,23:22:00,-0.148,12:15:00,13.36,,,,,2.12509,0.417472,1.54896
ksy01,1999-01-06,-0.529,13.57,12:28:00,-5.671,19:48:00,0.502,,,0.352,12:33:00,8.83,182,0,1.323,14:33:00,-0.833,00:33:00,-0.007,23:14:00,-0.101,00:38:00,13.41,,,,,,,
ksy01,1999-01-07,-2.259,4.196,17:07:00,-5.709,06:27:00,0.513,,,0.729,17:07:00,4.135,109.9,0,-0.466,23:56:00,-0.731,10:01:00,0.024,18:31:00,-0.046,00:53:00,13.35,,,,,,,
ksy01,1999-01-08,-2.35,0.801,12:38:00,-8.25,23:00:00,0.466,1.035,01:27:00,0.664,12:37:00,6.329,217.4,0,-0.089,13:31:00,-0.617,09:32:00,0.07,23:39:00,-0.016,00:58:00,13.41,,,,,0.79984,0.407308,0.670438
ksy01,1999-01-09,-3.454,4.124,15:20:00,-9.86,03:53:00,0.466,1.047,10:07:00,0.643,22:12:00,6.227,82.7,0,-0.587,00:00:00,-1.313,10:03:00,0.07,01:34:00,-0.081,18:34:00,13.4,,,,,0.667927,0.516749,0.443471
ksy01,1999-01-10,2.552,11.33,15:19:00,-4.618,07:07:00,0.521,1.03,07:25:00,0.322,15:21:00,9.44,119.5,0,2.251,15:39:00,-0.739,00:10:00,0.023,19:59:00,-0.054,00:39:00,13.35,,,,,1.69215,0.663394,1.37819
ksy01,1999-01-11,5.504,16.56,11:55:00,-3.167,04:47:00,0.56,0.996,03:40:00,0.287,11:16:00,7.54,176.7,0,3.175,14:50:00,-0.52,09:39:00,0.068,23:05:00,-0.007,04:49:00,13.32,,,,,2.93907,0.906966,2.39527
ksy01,1999-01-12,3.52,11.26,00:52:00,-5.057,22:37:00,0.503,1.026,22:52:00,0.285,01:00:00,6.359,239.9,0,3.205,15:22:00,-0.241,07:36:00,0.106,23:46:00,0.032,00:11:00,13.36,,,,,2.7755,1.3144,2.25275
ksy01,1999-01-13,-1.089,8.01,12:04:00,-7.5,04:04:00,0.508,,,0.439,12:06:00,5.472,115.8,0,-0.162,16:58:00,-0.787,09:46:00,0.145,21:18:00,0.068,02:33:00,13.33,,,,,,,
ksy01,1999-01-14,-1.289,3.469,16:34:00,-4.095,08:54:00,0.551,,,0.703,20:38:00,3.867,63.76,1.778,0.258,16:10:00,-0.271,00:03:00,0.191,22:00:00,0.114,00:04:00,13.39,,,,,,,
ksy01,1999-01-15,3.768,13.65,14:48:00,-1.254,08:24:00,0.573,0.994,02:39:00,0.358,14:51:00,5.907,205.5,0,2.525,16:25:00,-0.316,10:18:00,0.238,23:06:00,0.152,00:28:00,13.33,,,,,2.57284,1.28755,1.63745
ksy01,1999-01-16,-0.319,5.313,15:36:00,-6.294,07:22:00,0.535,1.017,07:30:00,0.626,15:18:00,6.532,123.8,0,1.002,16:35:00,-0.41,10:18:00,0.304,22:34:00,0.208,01:16:00,13.4,,,,,0.907553,0.915567,0.632613
ksy01,1999-01-17,1.116,5.959,12:19:00,-3.915,23:54:00,0.353,0.977,00:16:00,0.249,15:18:00,9.71,501.7,0,1.16,15:25:00,-0.354,10:40:00,0.368,23:15:00,0.275,03:17:00,13.42,,,,,3.14646,2.38345,2.83663
ksy01,1999-01-18,3.365,15.91,14:16:00,-6.876,06:04:00,0.529,0.98,06:59:00,0.339,14:04:00,8.4,240,0,2.511,17:01:00,-0.814,10:23:00,0.42,22:53:00,0.328,14:03:00,13.29,,,,,3.40004,1.70242,2.64635
ksy01,1999-01-19,4.274,12.65,14:16:00,-2.572,22:06:00,0.67,1.043,22:12:00,0.456,14:04:00,10.46,174.4,0,6.554,15:22:00,-0.054,07:00:00,1.394,19:58:00,0.387,01:55:00,13.3,,,,,1.94295,0.944166,1.64551
ksy01,1999-01-20,3.627,11.42,13:44:00,-2.601,07:58:00,0.561,1.039,08:04:00,0.396,11:51:00,7.53,122.9,0,5.064,14:28:00,0.077,09:17:00,1.781,20:27:00,0.897,12:16:00,13.26,,,,,1.65121,0.972853,1.59164
ksy01,1999-01-21,0.824,8.45,13:26:00,-5.048,02:23:00,0.567,,,0.509,13:30:00,6.537,296.4,0,2.945,15:39:00,-0.053,10:15:00,1.674,00:02:00,1.094,13:34:00,13.33,,,,,,,
ksy01,1999-01-22,-4.497,0.373,15:48:00,-12.82,23:59:00,0.467,,,0.955,21:43:00,11.67,161.3,3.556,1.057,16:12:00,0.161,23:54:00,1.523,00:02:00,1.202,23:13:00,13.47,,,,,,,
ksy01,1999-01-23,-3.223,9.32,15:22:00,-14.48,02:11:00,0.42,1.042,02:18:00,0.465,23:57:00,8.48,179.5,0,0.182,00:00:00,-0.644,11:05:00,1.231,00:20:00,0.95,23:54:00,13.39,,,,,1.84165,1.4914,1.35012
ksy01,1999-01-24,-4.438,8.41,00:04:00,-10.35,23:59:00,0.435,1.043,21:45:00,0.455,00:03:00,5.227,180.2,0.508,-0.023,03:49:00,-0.393,23:59:00,0.971,03:49:00,0.872,23:27:00,13.39,,,,,1.73191,1.13658,0.412319
ksy01,1999-01-25,-6.309,-0.907,15:16:00,-11.17,04:58:00,0.384,1.038,00:53:00,0.86,11:25:00,6.803,43.46,0,-0.374,00:00:00,-1.06,11:47:00,0.9,00:52:00,0.633,23:26:00,13.45,,,,,0.412426,0.682365,0.544904
ksy01,1999-01-26,-2.401,6.303,15:56:00,-11.38,06:49:00,0.437,1.041,05:18:00,0.458,17:00:00,9.14,185.5,0,-0.682,23:55:00,-1.538,09:22:00,0.661,00:00:00,0.471,23:43:00,13.41,,,,,1.60481,0.823801,1.0227
ksy01,1999-01-27,-1.733,3.812,15:02:00,-9.07,07:24:00,0.457,1.01,07:31:00,0.595,09:44:00,11.65,134.9,0,-0.041,16:16:00,-1.163,09:45:00,0.502,03:39:00,0.385,22:46:00,13.4,,,,,1.03432,0.707313,1.2101
ksy01,1999-01-28,-2.508,3.153,16:08:00,-7.26,07:31:00,0.482,1.045,22:18:00,0.687,15:29:00,11.24,68.66,0,2.147,16:03:00,-0.617,10:20:00,0.427,08:37:00,0.366,21:26:00,13.43,,,,,0.72363,0.544522,0.751259
ksy01,1999-01-29,-2.153,5.619,14:54:00,-9.29,06:51:00,0.465,1.045,00:01:00,0.547,12:15:00,9.93,71.2,0,1.066,16:13:00,-0.813,11:22:00,0.415,05:11:00,0.354,16:01:00,13.42,,,,,0.923124,0.646879,0.913218
ksy01,1999-01-30,0.014,3.679,16:44:00,-3.906,04:15:00,0.579,1.039,00:00:00,0.687,13:50:00,4.638,52.74,0,-0.012,17:09:00,-0.335,11:04:00,0.4,14:04:00,0.357,04:34:00,13.36,,,,,0.639917,0.226234,0.483244
ksy01,1999-01-31,2.243,9.08,15:40:00,-1.63,23:56:00,0.702,,,0.717,15:40:00,11.05,96.7,0,6.765,15:52:00,-0.063,00:34:00,1.073,20:09:00,0.367,08:16:00,13.36,,,,,,,
ksy01,1999-02-01,0.722,6.475,14:36:00,-4.107,04:52:00,0.546,1.044,00:16:00,0.543,14:01:00,5.4,265.7,0,1.331,17:00:00,0.04,12:02:00,0.97,00:00:00,0.775,16:19:00,13.39,,,,,1.58508,0.710791,1.25412
ksy01,1999-02-02,1.891,12.16,15:10:00,-7.82,07:00:00,0.444,1.031,07:11:00,0.248,14:45:00,10.61,225.9,0,2.921,16:04:00,-0.523,11:01:00,0.953,21:43:00,0.694,14:38:00,13.32,,,,,3.16162,1.58732,2.08304
ksy01,1999-02-03,4.977,9.9,15:21:00,-1.782,23:43:00,0.43,0.82,19:34:00,0.284,14:58:00,12.54,580.3,0,5.035,15:21:00,0.247,08:18:00,2.043,18:54:00,0.908,00:34:00,13.35,,,,,4.41373,3.06182,3.73697
ksy01,1999-02-04,2.009,12.7,15:48:00,-6.808,07:00:00,0.491,1.003,07:16:00,0.346,15:31:00,11.84,124,0,6.755,15:59:00,-0.128,10:48:00,2.297,20:37:00,1.132,13:20:00,13.32,,,,,2.1368,1.38565,1.53191
ksy01,1999-02-05,3.036,11.73,14:55:00,-3.715,05:37:00,0.601,1.038,05:12:00,0.473,16:10:00,12.22,113.2,0,8.23,15:43:00,0.303,09:14:00,3.059,20:01:00,1.498,11:05:00,13.31,,,,,1.69221,1.22013,1.72219
ksy01,1999-02-06,2.181,11.79,15:13:00,-3.631,07:03:00,0.568,1.028,07:33:00,0.384,15:48:00,11.68,101.9,0,8.86,15:21:00,0.482,09:47:00,3.379,19:53:00,1.854,11:25:00,13.31,,,,,1.77876,1.24517,1.60431
ksy01,1999-02-07,5.247,17.12,16:32:00,-3.574,05:26:00,0.598,1.024,05:42:00,0.317,16:33:00,8.16,181,0,6.367,16:36:00,0.538,10:25:00,3.267,21:28:00,2.062,12:26:00,13.26,,,,,3.18784,1.60712,1.95338
ksy01,1999-02-08,7.43,17.7,12:26:00,-1.996,23:58:00,0.529,0.906,07:06:00,0.222,12:24:00,12.73,274,0,10.25,15:01:00,1.092,08:03:00,4.313,19:06:00,2.56,09:48:00,13.28,,,,,4.74952,2.60738,4.28535
ksy01,1999-02-09,4.285,19.71,16:33:00,-4.626,07:16:00,0.496,0.935,04:35:00,0.251,16:34:00,13.44,82.3,0,11.45,15:53:00,0.762,09:16:00,4.721,20:07:00,2.737,10:59:00,13.22,,,,,2.55173,1.76982,2.13258
ksy01,1999-02-10,4.212,21.82,13:21:00,-4.36,23:59:00,0.462,,,0.135,13:39:00,12.28,602.5,0.508,10.29,14:48:00,1.307,08:04:00,4.792,18:24:00,3.24,10:14:00,13.28,,,,,,,
ksy01,1999-02-11,-5.164,0.378,16:06:00,-12.72,23:36:00,0.215,0.877,23:40:00,0.209,15:59:00,12.86,523.1,0,3.027,00:01:00,0.246,23:59:00,4.12,00:01:00,2.396,23:55:00,13.52,,,,,2.7269,2.75798,2.32521
ksy01,1999-02-12,-4.117,9.25,15:44:00,-14.87,03:02:00,0.284,0.937,22:49:00,0.195,14:50:00,14.11,106.1,0,3.996,16:38:00,-0.984,09:06:00,2.425,00:02:00,1.61,14:45:00,13.43,,,,,2.16468,1.77657,2.15488
ksy01,1999-02-13,0.933,16.73,15:33:00,-8.52,05:00:00,0.434,0.993,05:14:00,0.276,16:00:00,11.9,76.3,0,6.566,16:37:00,-0.362,09:29:00,2.727,20:33:00,1.453,13:21:00,13.35,,,,,2.21624,1.2561,1.89814
ksy01,1999-02-14,3.263,17.06,13:32:00,-9.54,06:23:00,0.374,0.997,06:28:00,0.17,14:59:00,10.63,127.3,0,6.575,15:01:00,-0.175,09:20:00,2.955,21:24:00,1.667,11:40:00,13.3,,,,,3.29817,1.54368,2.90358
ksy01,1999-02-15,0.757,7.33,14:39:00,-7.21,21:42:00,0.463,,,0.391,12:36:00,5.322,150.3,0,3.313,16:45:00,0.387,09:49:00,2.838,00:02:00,1.927,12:19:00,13.34,,,,,,,
ksy01,1999-02-16,-1.425,8.56,14:49:00,-6.877,07:25:00,0.548,,,0.354,14:45:00,7.27,61.4,1.016,5.467,15:35:00,0.329,09:14:00,2.632,19:51:00,1.701,13:10:00,13.41,,,,,,,
ksy01,1999-02-17,1.445,10.23,16:05:00,-6.983,04:10:00,0.429,1.022,02:51:00,0.261,19:50:00,6.662,200.6,0,2.666,17:41:00,-0.09,09:38:00,2.434,00:01:00,1.639,15:53:00,13.38,,,,,2.71196,1.46028,1.59632
ksy01,1999-02-18,2.266,8.12,14:18:00,-4.028,07:24:00,0.343,0.938,05:44:00,0.218,12:10:00,15.12,304,0,7.68,15:50:00,0.199,08:39:00,3.171,19:52:00,1.695,10:49:00,13.36,,,,,3.33343,2.52531,3.12802
ksy01,1999-02-19,2.453,11.92,11:38:00,-5.823,06:04:00,0.339,0.895,06:10:00,0.181,14:14:00,15.21,404.9,0,8.07,15:30:00,0.462,08:48:00,3.597,19:58:00,2.154,10:35:00,13.35,,,,,4.82256,3.36585,4.42888
ksy01,1999-02-20,0.198,7.26,15:31:00,-8.24,23:21:00,0.348,0.918,23:26:00,0.365,12:18:00,14.77,223,0,7.51,16:14:00,0.463,08:43:00,3.537,19:49:00,2.304,10:40:00,13.4,,,,,2.47199,2.04851,2.67036
ksy01,1999-02-21,-0.096,10.15,15:26:00,-10.37,04:22:00,0.392,1.007,04:27:00,0.358,13:15:00,13.81,243.4,0,5.365,16:50:00,-0.081,09:15:00,3.16,00:00:00,2.013,13:06:00,13.36,,,,,2.89175,2.14726,2.74051
ksy01,1999-02-22,1.214,5.932,15:32:00,-8.02,23:12:00,0.283,0.827,01:35:00,0.227,17:03:00,9.92,581.2,0,3.794,16:31:00,0.671,23:58:00,2.932,00:03:00,2.379,10:17:00,13.43,,,,,3.89566,3.14944,3.66833
ksy01,1999-02-23,1.795,14.72,15:36:00,-9.5,06:19:00,0.306,0.839,07:03:00,0.186,15:22:00,14.53,100.6,0,8.1,16:22:00,-0.363,09:19:00,3.436,20:32:00,1.82,12:05:00,13.31,,,,,2.83302,1.77185,2.70522
ksy01,1999-02-24,5.586,17.02,16:34:00,-5.381,06:41:00,0.41,0.893,06:49:00,0.208,14:12:00,12.84,105.2,0,9.02,15:16:00,0.444,08:35:00,4.2,20:23:00,2.296,10:03:00,13.26,,,,,3.01152,1.64141,3.13875
ksy01,1999-02-25,6.393,19.48,14:13:00,-4.693,07:10:00,0.4,0.905,03:58:00,0.14,15:54:00,15.39,104.2,0,11.86,15:55:00,0.968,08:15:00,5.277,20:45:00,3.029,10:13:00,13.23,,,,,3.52222,2.05639,3.36943
ksy01,1999-02-26,4.967,15.5,12:37:00,-5.048,06:40:00,0.335,0.844,07:09:00,0.16,12:36:00,16.22,514.8,6.096,10.87,14:57:00,1.373,08:00:00,5.336,19:25:00,3.718,10:11:00,13.32,,,,,6.65823,5.00534,4.75761
