station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
eac01,2000-07-17,18.42,26.78,14:42:00,14.94,03:31:00,1.857,0.997,06:02:00,0.49,14:39:00,17.8,296.1,13.72,27.29,15:32:00,20.14,07:35:00,23.77,17:48:00,21.36,10:41:00,13.07,,,,,5.85862,4.608,
eac01,2000-07-18,21.62,32.2,16:11:00,13.81,06:30:00,1.581,0.992,00:45:00,0.225,15:55:00,29.94,231.2,5.588,29.15,16:30:00,18.26,07:45:00,24.75,19:32:00,20.26,10:11:00,13.01,,,,,9.46738,8.09861,7.90923
eac01,2000-07-19,21.55,31.66,16:15:00,13.67,04:11:00,1.449,0.976,05:02:00,0.182,18:01:00,28.82,239.4,0,29.81,17:00:00,19.28,06:32:00,25.1,19:33:00,20.89,10:06:00,13.02,,,,,9.59909,8.52661,7.77958
eac01,2000-07-20,20.39,29.71,15:24:00,14.26,20:51:00,1.709,0.98,06:07:00,0.296,17:36:00,27.24,259.4,12.19,32.3,16:48:00,19.92,07:30:00,26.28,18:56:00,21.39,09:57:00,13.02,,,,,8.49115,7.87765,6.89597
eac01,2000-07-21,20.86,31.26,15:22:00,13.06,02:20:00,1.509,0.937,02:27:00,0.242,15:17:00,28.16,236.9,0,29.67,15:55:00,18.7,07:17:00,25.12,18:18:00,20.8,09:41:00,13,,,,,9.12173,8.58954,7.44204
eac01,2000-07-22,21.9,30.72,16:01:00,13.73,01:52:00,1.496,0.918,04:48:00,0.22,16:02:00,31.03,166.7,0,32.79,15:52:00,18.93,06:48:00,26.68,18:23:00,20.9,09:01:00,13,,,,,8.37461,8.27173,7.61809
eac01,2000-07-23,25.44,33.99,13:55:00,16.29,04:51:00,1.364,0.88,04:53:00,0.133,13:51:00,30.57,282.2,0,33.69,15:45:00,20.51,07:13:00,27.68,18:18:00,22.06,09:04:00,13,,,,,11.5568,10.3959,9.54048
eac01,2000-07-24,26.84,36.13,13:11:00,17.95,04:25:00,0.9,0.657,02:13:00,0.083,13:30:00,23.15,332.3,0,30.58,14:23:00,21.3,08:05:00,26.53,18:38:00,22.82,10:17:00,13,,,,,13.3314,11.4216,
eac01,2000-07-25,24.22,33,14:43:00,15.41,06:29:00,1.197,0.683,06:33:00,0.142,14:18:00,29.87,216,0,32.9,16:05:00,20.29,08:11:00,27.5,19:31:00,22.15,10:02:00,13.02,,,,,10.2992,9.70343,9.43524
eac01,2000-07-26,26.09,35.46,13:47:00,17.55,04:04:00,1.188,0.705,04:03:00,0.158,13:45:00,25.11,193.5,0,31.62,14:51:00,21.61,07:26:00,26.84,18:57:00,22.98,09:45:00,12.98,,,,,9.66346,9.06338,8.69227
eac01,2000-07-27,24.28,34.26,13:16:00,15.67,05:55:00,1.248,0.763,05:57:00,0.166,17:22:00,23.84,220.1,0,31.58,14:55:00,21.35,08:07:00,26.99,17:13:00,22.85,10:08:00,12.97,,,,,9.72605,9.07915,7.5233
eac01,2000-07-28,22.79,30.99,15:25:00,14.88,04:42:00,1.36,0.832,04:43:00,0.241,17:05:00,30.28,236.4,0,32.31,16:43:00,20.95,08:17:00,27.54,19:12:00,22.6,10:07:00,13.03,,,,,9.42124,9.459,
eac01,2000-07-29,23.52,31.59,16:39:00,16.15,05:47:00,1.212,0.766,03:05:00,0.126,14:07:00,29.36,235.8,0,32.12,16:39:00,21.29,08:17:00,27.49,19:16:00,22.93,09:59:00,13,,,,,10.1663,9.55852,9.7688
eac01,2000-07-30,22.97,31.05,16:25:00,15.82,05:29:00,1.242,0.803,05:48:00,0.176,16:24:00,28.04,232.1,0,31.37,17:23:00,21.39,08:14:00,27.29,19:42:00,22.96,10:08:00,12.99,,,,,9.49108,9.04674,9.12005
eac01,2000-07-31,23.4,32.2,14:37:00,15.35,04:21:00,1.025,0.765,04:19:00,0.128,16:04:00,28.49,168.1,0,32.09,15:36:00,20.94,07:19:00,27.48,18:13:00,22.7,09:09:00,13.02,,,,,8.85026,8.62357,8.45445
eac01,2000-08-01,26.5,36.2,14:45:00,14.87,01:35:00,0.892,0.62,01:35:00,0.113,14:43:00,27.86,169.8,0,31.66,15:50:00,21.11,06:58:00,27.34,18:20:00,22.81,09:11:00,13,,,,,9.87428,9.25189,8.43389
eac01,2000-08-02,26.54,35.26,15:35:00,18.42,05:28:00,1.102,0.659,00:00:00,0.143,14:52:00,25.23,175.5,0,31.98,15:41:00,22.2,07:19:00,27.49,18:11:00,23.44,08:58:00,13,,,,,9.27864,8.53169,8.21589
eac01,2000-08-03,24.18,34.66,14:29:00,15.95,04:45:00,1.499,0.917,03:27:00,0.175,14:37:00,25.67,218.1,0,31.87,15:30:00,22.29,06:01:00,27.48,17:35:00,23.63,08:39:00,12.98,,,,,9.59686,8.85207,8.26711
eac01,2000-08-04,25.72,34.05,13:19:00,18.42,04:22:00,1.283,0.751,00:01:00,0.154,15:49:00,22.28,237.7,0,31.17,13:55:00,22.13,06:33:00,27.12,17:01:00,23.53,08:33:00,12.98,,,,,9.80437,8.82007,8.67741
eac01,2000-08-05,23.2,34.67,14:08:00,15.28,23:59:00,1.275,0.822,00:00:00,0.13,14:04:00,23.63,286.6,0.762,31.2,14:56:00,21.73,07:10:00,26.97,16:52:00,23.28,08:41:00,12.98,,,,,11.2243,9.95587,9.68349
eac01,2000-08-06,21.54,32.66,15:03:00,11.53,04:49:00,1.125,0.945,02:54:00,0.143,15:53:00,29.5,265.3,0,32.27,15:44:00,19.89,06:49:00,27.03,18:13:00,22.21,08:50:00,12.99,,,,,10.6598,10.4174,8.91676
eac01,2000-08-07,26.31,36,13:11:00,16.35,03:40:00,0.828,0.646,03:41:00,0.082,13:05:00,25.84,260.8,0,33.39,14:50:00,20.68,07:06:00,27.12,16:55:00,22.64,08:52:00,12.98,,,,,11.9466,10.554,10.4817
eac01,2000-08-08,27.64,36.74,14:31:00,17.83,04:20:00,0.591,0.372,04:20:00,0.072,16:28:00,29.2,218.4,0,33.68,15:39:00,20.66,06:45:00,27.52,18:08:00,22.65,08:57:00,12.97,,,,,11.8303,10.4899,11.5672
eac01,2000-08-09,24.52,35.74,12:54:00,15.28,05:05:00,1.056,0.839,23:59:00,0.128,14:29:00,27.84,280.7,0,33.5,16:00:00,20.45,06:48:00,27.35,18:17:00,22.62,08:54:00,12.98,,,,,11.8257,10.9236,10.1155
eac01,2000-08-10,23.05,31.59,14:49:00,12.33,03:51:00,1.435,0.975,03:56:00,0.255,16:12:00,27.74,281.8,0,33.15,15:47:00,20.76,06:27:00,27.12,18:07:00,22.81,08:57:00,13,,,,,9.51441,9.44587,8.73095
eac01,2000-08-11,26.81,36.8,16:13:00,16.35,03:55:00,1.137,0.738,04:23:00,0.126,14:20:00,27.3,220.4,0,34.62,15:21:00,21.52,06:55:00,27.84,18:15:00,23.11,08:52:00,12.97,,,,,10.8696,9.74877,9.36069
eac01,2000-08-12,24.11,28.26,14:17:00,19.29,05:30:00,1.224,0.598,23:59:00,0.301,07:29:00,15.38,302.3,0,27.89,13:01:00,22.51,06:26:00,26.09,00:00:00,23.84,08:49:00,13,,,,,8.34824,7.63374,8.03957
eac01,2000-08-13,25.62,34.12,14:58:00,17.14,03:04:00,1.256,0.711,02:57:00,0.212,14:55:00,24.73,169.5,0,33.44,15:25:00,20.86,06:43:00,26.98,17:36:00,22.58,09:06:00,12.99,,,,,8.42188,7.83428,8.08685
eac01,2000-08-14,27.68,36.94,15:17:00,19.36,03:45:00,0.897,0.51,03:45:00,0.093,15:02:00,27.47,227.2,0,35.06,15:29:00,21.53,06:40:00,27.87,18:04:00,23.12,09:16:00,12.96,,,,,11.5222,9.97702,10.8145
eac01,2000-08-15,25.67,35.93,14:36:00,16.81,05:51:00,1.23,0.856,22:50:00,0.175,16:44:00,26.97,242.1,4.826,35.33,16:04:00,22.1,07:20:00,28.27,18:11:00,23.56,09:04:00,12.96,,,,,10.5111,9.81437,9.03068
eac01,2000-08-16,21.26,31.73,13:49:00,16.76,20:01:00,1.672,0.944,23:54:00,0.231,14:24:00,11.53,259.4,17.02,27.87,15:07:00,19.94,23:59:00,26.14,00:00:00,22.23,23:59:00,12.96,,,,,7.44549,6.19312,4.73551
eac01,2000-08-17,19.24,27.05,14:38:00,15.41,20:31:00,1.573,0.965,06:34:00,0.312,14:38:00,20.36,219.8,3.048,28.1,14:55:00,18.89,06:13:00,24.74,16:40:00,20.87,08:08:00,13.02,,,,,6.47562,6.46564,5.68996
eac01,2000-08-18,19.17,26.04,13:43:00,13.67,02:55:00,1.583,0.937,01:53:00,0.476,13:49:00,18.2,331.7,0.254,26.07,14:22:00,17.87,06:29:00,23.13,16:19:00,20.15,08:49:00,13.03,,,,,6.157,6.47107,5.92731
eac01,2000-08-19,23.74,32.46,17:34:00,14.81,04:16:00,1.209,0.946,03:22:00,0.152,17:32:00,27.65,160.8,0.762,32.07,16:10:00,17.6,07:02:00,26.07,18:20:00,19.64,08:33:00,12.99,,,,,8.13639,7.6955,7.29262
eac01,2000-08-20,24.19,33.99,14:23:00,17.15,23:28:00,1.216,0.709,05:22:00,0.167,14:18:00,23.21,198.3,0.254,33.28,14:44:00,18.88,06:43:00,26.6,17:20:00,20.94,08:43:00,12.98,,,,,8.96567,7.60203,7.85262
eac01,2000-08-21,18.83,29,14:35:00,12.72,05:37:00,1.4,0.879,08:09:00,0.326,14:37:00,18.6,305.8,0.762,31.52,15:08:00,18.24,07:07:00,25.48,16:53:00,20.76,09:20:00,13.03,,,,,7.8214,7.32678,5.33086
eac01,2000-08-22,23.49,32.52,15:08:00,17.02,03:29:00,1.201,0.76,03:15:00,0.172,15:00:00,24.74,336.2,0.508,33.14,15:53:00,18.57,06:12:00,26.65,17:44:00,20.37,08:46:00,12.99,,,,,11.1286,9.87789,9.0256
eac01,2000-08-23,22.71,31.99,14:32:00,13.2,04:04:00,1.086,0.835,04:09:00,0.117,16:14:00,26.5,162.4,0,32.33,14:57:00,18.41,07:23:00,26.78,18:14:00,20.74,09:02:00,13,,,,,8.18707,7.72344,7.37306
eac01,2000-08-24,25.15,35.06,13:27:00,16.56,05:37:00,1.232,0.802,20:26:00,0.176,13:29:00,23.5,208.8,2.032,31.67,15:15:00,19.37,07:13:00,26.57,17:47:00,21.36,08:43:00,12.97,,,,,9.21662,8.00053,8.55583
eac01,2000-08-25,23.96,34.2,15:01:00,16.36,03:46:00,1.279,0.772,02:02:00,0.179,14:11:00,23.02,283.9,0,32.45,16:00:00,19.66,06:19:00,26.78,17:48:00,21.51,08:50:00,12.99,,,,,10.4743,9.08435,8.75002
eac01,2000-08-26,22.58,34.26,13:40:00,15.08,23:11:00,1.378,0.972,21:27:00,0.185,13:41:00,22.1,217,16.76,31.98,14:35:00,20.12,07:30:00,26.74,16:50:00,21.88,09:01:00,12.96,,,,,8.72916,7.82218,7.43645
eac01,2000-08-27,22.28,31.66,14:20:00,14.34,03:57:00,1.447,0.971,01:18:00,0.219,14:38:00,25.57,217.5,2.54,29.82,15:17:00,17.81,06:51:00,25.45,17:54:00,20.21,08:55:00,12.99,,,,,8.3272,7.9283,7.21578
eac01,2000-08-28,22.02,31.99,15:42:00,14.88,23:35:00,1.425,0.952,23:15:00,0.216,15:39:00,24.75,305.1,9.91,30.84,16:01:00,18.37,06:57:00,25.81,17:47:00,20.57,08:40:00,12.98,,,,,9.66369,8.86623,8.25901
eac01,2000-08-29,21.29,30.05,14:22:00,14.67,04:06:00,1.524,0.954,02:50:00,0.295,14:51:00,22.49,225.4,1.27,28.93,14:59:00,18.6,07:03:00,24.73,17:12:00,20.5,08:57:00,13.01,,,,,7.36641,6.94002,6.66645
