station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
akr02,1999-01-02,,-2.47,,-13,,,,,,,,,0,,,,,,,,,11.32,,,,,,,
akr02,1999-01-03,,-5.22,,-13.8,,,,,,,,,0,,,,,,,,,11.31,,,,,,,
akr02,1999-01-04,,1.401,,-12,,,,,,,,,0,,,,,,,,,11.34,,,,,,,
akr02,1999-01-05,,10.17,,-1.78,,,,,,,,,0,,,,,,,,,11.36,,,,,,,
akr02,1999-01-06,,11.87,,-9.33,,,,,,,,,0,,,,,,,,,11.32,,,,,,,
akr02,1999-01-07,,4.096,,-8.6,,,,,,,,,0,,,,,,,,,11.32,,,,,,,
akr02,1999-01-08,,-1.85,,-9.25,,,,,,,,,0,,,,,,,,,11.29,,,,,,,
akr02,1999-01-09,,8.54,,-10,,,,,,,,,0,,,,,,,,,11.33,,,,,,,
akr02,1999-01-10,,10.94,,-4.4,,,,,,,,,0,,,,,,,,,11.35,,,,,,,
akr02,1999-01-11,,16.98,,-1.81,,,,,,,,,0,,,,,,,,,11.38,,,,,,,
akr02,1999-01-12,,11.75,,-5.18,,,,,,,,,0,,,,,,,,,11.35,,,,,,,
akr02,1999-01-13,,5.608,,-5.14,,,,,,,,,0,,,,,,,,,11.35,,,,,,,
akr02,1999-01-14,,13.67,,-7.87,,,,,,,,,0,,,,,,,,,11.36,,,,,,,
akr02,1999-01-15,,13.05,,-1.35,,,,,,,,,0,,,,,,,,,11.37,,,,,,,
akr02,1999-01-16,,10.66,,-5.22,,,,,,,,,0,,,,,,,,,11.35,,,,,,,
akr02,1999-01-17,,6.622,,-9.17,,,,,,,,,0,,,,,,,,,11.32,,,,,,,
akr02,1999-01-18,,17.46,,-9.5,,,,,,,,,0,,,,,,,,,11.38,,,,,,,
akr02,1999-01-19,,12.07,,-2.51,,,,,,,,,0.254,,,,,,,,,11.37,,,,,,,
akr02,1999-01-20,,15.26,,-0.477,,,,,,,,,0,,,,,,,,,11.37,,,,,,,
akr02,1999-01-21,,9.89,,-3.51,,,,,,,,,0,,,,,,,,,11.35,,,,,,,
akr02,1999-01-22,,6.778,,-7.63,,,,,,,,,0,,,,,,,,,11.3,,,,,,,
akr02,1999-01-23,,15.22,,-8.07,,,,,,,,,0,,,,,,,,,11.34,,,,,,,
akr02,1999-01-24,,5.219,,-8.96,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-01-25,,3.98,,-7.75,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-01-26,,15.01,,-5.14,,,,,,,,,0,,,,,,,,,11.29,,,,,,,
akr02,1999-01-27,,7.64,,-7.75,,,,,,,,,0,,,,,,,,,11.26,,,,,,,
akr02,1999-01-28,,8.15,,-9.66,,,,,,,,,0,,,,,,,,,11.26,,,,,,,
akr02,1999-01-29,,8.19,,-8.35,,,,,,,,,0,,,,,,,,,11.27,,,,,,,
akr02,1999-01-30,,6.114,,-0.438,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-01-31,,10.78,,-2.28,,,,,,,,,0,,,,,,,,,11.27,,,,,,,
akr02,1999-02-01,,9.06,,-8.23,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,1999-02-02,,12.81,,-10,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-02-03,,9.34,,-7.27,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,1999-02-04,,16.54,,-5.92,,,,,,,,,0,,,,,,,,,11.3,,,,,,,
akr02,1999-02-05,,12.85,,-2.31,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-02-06,,13.01,,-3.9,,,,,,,,,0,,,,,,,,,11.27,,,,,,,
akr02,1999-02-07,,19.19,,-2.51,,,,,,,,,0,,,,,,,,,11.31,,,,,,,
akr02,1999-02-08,,18.56,,-4.48,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-02-09,,18.25,,-5.29,,,,,,,,,0,,,,,,,,,11.33,,,,,,,
akr02,1999-02-10,,22.62,,-5.69,,,,,,,,,0,,,,,,,,,11.29,,,,,,,
akr02,1999-02-11,,-1.39,,-15.1,,,,,,,,,0,,,,,,,,,11.2,,,,,,,
akr02,1999-02-12,,8.74,,-16.6,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,1999-02-13,,18.16,,-5.57,,,,,,,,,0,,,,,,,,,11.28,,,,,,,
akr02,1999-02-14,,21.94,,-3.9,,,,,,,,,0,,,,,,,,,11.29,,,,,,,
akr02,1999-02-15,,5.453,,-7.27,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,1999-02-16,,11.46,,-8.6,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,1999-02-17,,10.37,,-8.07,,,,,,,,,0,,,,,,,,,11.25,,,,,,,
akr02,1999-02-18,,8.23,,-4.87,,,,,,,,,0,,,,,,,,,11.22,,,,,,,
akr02,1999-02-19,,12.72,,-3.28,,,,,,,,,0,,,,,,,,,11.21,,,,,,,
akr02,1999-02-20,,7.01,,-7.91,,,,,,,,,0,,,,,,,,,11.17,,,,,,,
akr02,1999-02-21,,6.935,,-11.1,,,,,,,,,0,,,,,,,,,11.19,,,,,,,
akr02,1999-02-22,,4.135,,-2.43,,,,,,,,,0,,,,,,,,,11.18,,,,,,,
akr02,1999-02-23,,14.13,,-9.05,,,,,,,,,0,,,,,,,,,11.19,,,,,,,
akr02,1999-02-24,,17.59,,-4.28,,,,,,,,,0,,,,,,,,,11.22,,,,,,,
akr02,1999-02-25,,19.33,,-2.01,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,1999-02-26,,15.77,,0.251,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,1999-02-27,,10.29,,-5.37,,,,,,,,,0,,,,,,,,,11.18,,,,,,,
akr02,1999-02-28,,18.65,,-5.8,,,,,,,,,0,,,,,,,,,11.22,,,,,,,
akr02,1999-03-01,,21.46,,-1.35,,,,,,,,,0,,,,,,,,,11.25,,,,,,,
akr02,1999-03-02,,7.71,,-8.56,,,,,,,,,0,,,,,,,,,11.17,,,,,,,
akr02,1999-03-03,,19.51,,-8.39,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2002-02-25,,19.33,,-2.01,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,2002-02-26,,15.77,,0.251,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2002-02-27,,10.29,,-5.37,,,,,,,,,0,,,,,,,,,11.18,,,,,,,
akr02,2002-02-28,,18.65,,-5.8,,,,,,,,,0,,,,,,,,,11.22,,,,,,,
akr02,2002-03-01,,21.46,,-1.35,,,,,,,,,0,,,,,,,,,11.25,,,,,,,
akr02,2002-03-02,,7.71,,-8.56,,,,,,,,,0,,,,,,,,,11.17,,,,,,,
akr02,2002-03-03,,19.51,,-8.39,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2003-02-25,,19.33,,-2.01,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,2003-02-26,,15.77,,0.251,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2003-02-27,,10.29,,-5.37,,,,,,,,,0,,,,,,,,,11.18,,,,,,,
akr02,2003-02-28,,18.65,,-5.8,,,,,,,,,0,,,,,,,,,11.22,,,,,,,
akr02,2003-03-01,,21.46,,-1.35,,,,,,,,,0,,,,,,,,,11.25,,,,,,,
akr02,2003-03-02,,7.71,,-8.56,,,,,,,,,0,,,,,,,,,11.17,,,,,,,
akr02,2003-03-03,,19.51,,-8.39,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2004-02-25,,19.33,,-2.01,,,,,,,,,0,,,,,,,,,11.24,,,,,,,
akr02,2004-02-26,,15.77,,0.251,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2004-02-27,,10.29,,-5.37,,,,,,,,,0,,,,,,,,,11.18,,,,,,,
akr02,2004-02-28,,18.65,,-5.8,,,,,,,,,0,,,,,,,,,11.22,,,,,,,
akr02,2004-02-29,,21.46,,-1.35,,,,,,,,,0,,,,,,,,,11.25,,,,,,,
akr02,2004-03-01,,7.71,,-8.56,,,,,,,,,0,,,,,,,,,11.17,,,,,,,
akr02,2004-03-02,,19.51,,-8.39,,,,,,,,,0,,,,,,,,,11.23,,,,,,,
akr02,2005-02-11,,16.98,,-6.606,,0.242,,,,,,,0,,,,,,,,,12.26,,,,,,,
akr02,2005-02-12,,10.26,,0.916,,0.465,,,,,6.21212,228.676,0,,,,,,,,,12.47,,,,,,,
akr02,2005-02-13,,15.29,,-0.86,,0.432,,,,,13.5512,620.699,0,,,,,,,,,12.48,,,,,,,
akr02,2005-02-14,,17.84,,-5.268,,0.406,,,,,9.41877,250.826,0,,,,,,,,,12.43,,,,,,,
akr02,2005-02-15,,-0.368,,-12.89,,0.417,,,,,5.48397,220.638,0,,,,,,,,,12.21,,,,,,,
akr02,2005-02-16,,-0.574,,-12.9,,0.378,,,,,6.15605,157.819,1.016,,,,,,,,,12.27,,,,,,,
akr02,2005-02-17,,6.794,,-9.32,,0.319,,,,,14.8578,244.574,0.762,,,,,,,,,12.35,,,,,,,
akr02,2005-02-18,,7.53,,-8.54,,0.392,,,,,10.9735,296.449,0,,,,,,,,,12.25,,,,,,,
akr02,2005-02-19,,13.56,,-5.326,,0.662,,,,,11.7846,219.992,0,,,,,,,,,12.42,,,,,,,
