station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
hot02,2019-03-19,7.88,13.56,17:37:20,-1.472,23:20:00,0.277,0.479,23:26:40,0.164,17:58:50,369.6,78.34,0,13.58,16:04:10,4.342,00:00:00,8.96,18:58:30,6.181,13:48:30,12.57,2019,8.63,16:11:00,227.7,,,
hot02,2019-03-20,3.932,15.63,17:34:40,-4.966,06:28:10,0.249,0.592,07:46:50,0.081,18:12:30,385.2,170.2,0,13.16,16:18:10,1.083,08:56:50,8.65,19:12:20,3.464,11:00:20,12.57,2019,6.742,11:09:00,264.8,,,
hot02,2019-03-21,3.047,14.11,14:01:40,-1.476,06:33:00,0.434,0.954,17:13:50,0.246,13:23:40,132.1,236.3,3.81,8.29,15:17:40,1.698,08:41:40,6.811,00:00:10,3.834,10:36:00,12.53,2019,17.65,15:09:00,267,,,
hot02,2019-03-22,1.306,6.617,14:41:40,-1.146,23:33:30,0.591,0.979,07:08:20,0.562,14:59:20,158.2,136.5,4.826,7.797,15:19:30,1.71,08:49:10,5.31,19:06:00,3.133,10:42:00,12.54,2019,7.811,15:40:00,270.8,,,
hot02,2019-03-23,3.733,10.43,16:54:10,-0.555,05:06:10,0.605,0.98,06:35:40,0.432,16:57:30,296.4,157.5,1.27,11.1,14:44:00,1.586,07:37:50,7.412,19:04:10,2.963,09:21:50,12.59,2019,5.841,13:19:00,256.7,,,
hot02,2019-03-24,4.49,11.76,16:11:40,-0.154,06:54:40,0.631,0.959,09:21:00,0.458,15:39:50,250.8,180.5,3.556,11.79,16:22:50,2.384,07:49:20,7.869,19:06:40,3.996,10:12:20,12.57,2019,6.478,17:36:00,1.184,,,
hot02,2019-03-25,6.422,16.46,17:25:00,-1.083,06:11:30,0.492,0.896,04:46:10,0.052,15:24:20,389.3,154.9,0,13.71,16:11:20,2.356,08:26:20,9.64,19:11:40,4.26,09:31:30,12.58,2019,5.282,22:35:00,68.91,,,
hot02,2019-03-26,9.55,20.03,16:11:30,-1.74,07:20:30,0.399,0.668,07:21:20,0.131,14:59:20,343.3,195.5,0,14.49,16:02:20,2.216,08:57:20,9.99,19:09:30,4.561,10:02:20,12.59,2019,9.74,18:57:00,214.4,,,
hot02,2019-03-27,12.14,20.64,14:09:30,2.674,06:56:40,0.471,0.633,06:57:10,0.167,14:11:40,297.9,181.4,0,16.27,15:04:10,4.465,08:07:20,11.26,18:19:00,6.297,09:36:50,12.6,2019,6.419,14:35:00,280.8,,,
hot02,2019-03-28,11.85,20.3,16:07:40,2.805,05:50:40,0.416,0.648,05:20:50,0.123,14:16:30,381.6,274.4,0,16.89,16:07:00,5.22,07:48:20,12.15,18:43:00,7.153,09:38:50,12.57,2019,11.22,16:05:00,246.8,,,
