station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
rfd01,1999-01-14,6.14,15.25,13:32:00,-5.261,22:45:00,0.183,0.23,22:45:00,0.155,13:32:00,13.54,141.7,0,3.255,16:38:00,0.789,10:23:00,2.8,19:42:00,1.712,12:03:00,12.87,,,,,3.48827,2.71872,
rfd01,1999-01-15,9.39,22.08,14:46:00,-4.89,00:38:00,0.217,0.228,00:39:00,0.13,14:44:00,9.97,230.8,0,4.531,17:44:00,0.902,08:54:00,3.689,22:19:00,1.822,09:46:00,12.84,,,,,6.26951,3.45069,5.30526
rfd01,1999-01-16,6.473,17.34,13:02:00,-4.625,07:15:00,0.185,0.227,07:15:00,0.147,13:01:00,9.41,244,0,4.544,16:31:00,2.087,09:01:00,3.999,21:02:00,2.937,11:04:00,12.85,,,,,5.34563,3.10735,4.25743
rfd01,1999-01-17,2.875,11.71,14:59:00,-6.981,00:00:00,0.154,0.236,00:00:00,0.167,14:59:00,12.45,215.8,0,4.738,16:32:00,1.947,08:39:00,4.124,19:26:00,2.977,10:54:00,12.87,,,,,3.85924,2.5665,3.54254
rfd01,1999-01-18,3.343,21.78,14:29:00,-9.07,02:54:00,0.167,0.243,02:54:00,0.131,14:29:00,10.66,125.8,0,4.341,17:04:00,1.032,09:44:00,3.731,20:29:00,2.307,11:23:00,12.85,,,,,4.1672,2.27326,2.81723
rfd01,1999-01-19,5.499,14.55,14:04:00,-2.467,07:37:00,0.176,0.22,07:37:00,0.157,14:04:00,11.55,147.6,0,5.154,16:42:00,1.948,08:41:00,4.37,20:14:00,2.872,10:36:00,12.85,,,,,3.46022,1.88171,3.4306
rfd01,1999-01-20,5.925,18.5,13:44:00,-5.843,04:48:00,0.184,0.232,04:48:00,0.143,13:44:00,10.96,208,0,5.505,17:27:00,1.957,09:04:00,4.765,22:30:00,3.058,10:49:00,12.84,,,,,5.08735,2.68531,3.91575
rfd01,1999-01-21,1.939,7.33,16:07:00,-5.234,04:31:00,0.145,0.23,04:31:00,0.183,16:03:00,3.349,180.9,0.254,4.358,00:00:00,2.594,08:56:00,4.687,00:01:00,3.522,11:39:00,12.85,,,,,2.97416,1.90905,1.7268
rfd01,1999-01-22,1.93,8.57,13:05:00,-7.58,23:31:00,0.145,0.238,23:31:00,0.179,13:10:00,11.86,385.2,0,4.543,16:19:00,2.394,23:58:00,4.321,18:22:00,3.645,10:26:00,12.89,,,,,4.62529,3.30035,4.06671
rfd01,1999-01-23,4.038,17.68,15:02:00,-10.21,05:24:00,0.174,0.248,05:24:00,0.146,15:02:00,13.21,284.4,0,4.428,17:53:00,0.887,09:10:00,3.941,21:28:00,2.322,11:41:00,12.87,,,,,5.98507,3.49426,4.28508
rfd01,1999-01-24,8.74,22.01,13:15:00,-4.556,23:59:00,0.208,0.227,23:59:00,0.13,13:14:00,12.1,512.6,0,6.565,15:16:00,3.846,00:06:00,5.444,19:05:00,3.911,00:03:00,12.84,,,,,9.94833,5.82511,7.02337
rfd01,1999-01-25,-2.174,5.567,14:25:00,-6.333,04:49:00,0.115,0.234,04:49:00,0.19,14:25:00,8.8,90.9,0,4.771,16:32:00,2.68,09:28:00,5.034,00:01:00,3.708,11:50:00,12.91,,,,,1.85292,1.50448,1.52908
rfd01,1999-01-26,2.622,14.5,11:44:00,-6.574,07:49:00,0.155,0.234,07:48:00,0.157,11:44:00,11.65,324.6,0,4.703,17:15:00,1.889,09:00:00,4.323,20:23:00,3.128,10:41:00,12.86,,,,,5.6218,3.44766,4.41346
rfd01,1999-01-27,2.011,11.09,14:49:00,-5.77,07:30:00,0.147,0.232,07:30:00,0.17,14:49:00,9.78,166.6,0,4.374,16:45:00,1.642,08:58:00,4.114,00:00:00,2.932,10:58:00,12.88,,,,,3.33881,2.01391,2.53287
rfd01,1999-01-28,-0.005,7.72,15:23:00,-7.19,01:15:00,0.13,0.237,01:15:00,0.182,16:03:00,8.14,109.4,0,4.109,16:38:00,1.892,08:19:00,3.843,19:48:00,2.895,10:39:00,12.89,,,,,2.2522,1.48804,1.63904
rfd01,1999-01-29,-0.656,5.766,14:59:00,-5.871,06:39:00,0.126,0.232,06:39:00,0.189,14:59:00,2.933,139.8,0,3.073,17:57:00,1.689,09:11:00,3.692,00:06:00,2.772,11:33:00,12.85,,,,,2.32954,1.41688,1.61069
rfd01,1999-01-30,2.493,5.105,16:40:00,-0.013,00:00:00,0.148,0.211,00:00:00,0.191,16:40:00,3.236,163.6,4.572,3.822,18:19:00,2.567,09:15:00,3.816,23:37:00,3.127,09:45:00,12.83,,,,,2.78753,1.35847,2.25083
rfd01,1999-01-31,4.97,12.73,15:02:00,0.799,23:48:00,0.169,0.208,23:48:00,0.164,15:03:00,10.27,124.3,0,6.545,16:43:00,3.542,07:20:00,5.369,19:49:00,3.787,06:14:00,12.89,,,,,3.11774,1.34176,2.67223
rfd01,1999-02-01,3.788,13.67,12:38:00,-2.542,23:48:00,0.161,0.22,23:47:00,0.16,12:38:00,13.6,357.4,0,5.987,16:10:00,3.983,08:59:00,5.423,18:52:00,4.56,10:49:00,12.86,,,,,5.89299,3.56164,5.00735
rfd01,1999-02-02,5.103,15.86,16:00:00,-6.971,06:25:00,0.176,0.236,06:25:00,0.152,16:00:00,14.91,261.4,0,5.531,17:00:00,2.193,09:35:00,4.972,00:06:00,3.547,11:24:00,12.86,,,,,5.39712,3.39385,4.24596
