station, date, mean_temp, max_temp, max_temp_time, min_temp, min_temp_time, vapor_press, max_rh, max_rh_time,min_rh, min_rh_time, solar_rad, wind_run, precip, max_soil_temp_5, max_soil_temp_5_time, min_soil_temp_5, min_soil_temp_5_time, max_soil_temp_15, max_soil_temp_15_time, min_soil_temp_15, min_soil_temp_15_time, voltage, year, max_wind, max_wind_time, max_wind_dir, et_asce, et_pk, sum_et_asce
variableTypes, 01-01-1001, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 23:59:59, 99.99, 23:59:59, 99.99, 99.99, 99.99, 99.99, 23:59:59, 99.99, 23:59:59,99.99, 23:59:59, 99.99, 23:59:59, 99.99, 1000L, 99.99, 23:59:59, 999.999, 99.99, 99.99, 99.99
ctz01,1999-01-02,0.756,8.19,13:50:00,-4.123,23:58:00,0.277,0.695,00:21:00,0.146,16:13:00,9.55,216.4,0,,,38.55,22:39:00,0,00:00:00,0,00:00:00,12.77,,,,,2.95112,2.39598,2.29194
ctz01,1999-01-03,-2.047,4.632,12:32:00,-7.15,23:28:00,0.232,0.678,23:31:00,0.225,14:37:00,10.42,261.1,0,,,36.95,23:31:00,0,00:00:00,0,00:00:00,12.78,,,,,2.60176,2.25411,2.31723
ctz01,1999-01-04,-2.5,7.58,14:12:00,-11.33,05:35:00,0.236,0.816,05:38:00,0.236,14:12:00,10.36,184.6,0,,,2.508,07:46:00,0,00:00:00,0,00:00:00,12.77,,,,,2.36125,1.80667,2.06723
ctz01,1999-01-05,0.583,11.9,14:10:00,-7.48,08:08:00,0.267,0.768,07:22:00,0.158,13:10:00,10.4,141.3,0,,,37.88,07:13:00,0,00:00:00,0,00:00:00,12.79,,,,,2.62498,1.29576,2.18998
ctz01,1999-01-06,1.534,12.85,14:57:00,-6.728,05:31:00,0.336,0.793,08:02:00,0.258,15:02:00,10.32,150.3,0,,,37.9,05:32:00,0,00:00:00,0,00:00:00,12.76,,,,,2.57666,1.27162,2.07505
ctz01,1999-01-07,1.248,11.87,13:14:00,-6.108,04:29:00,0.33,0.816,04:45:00,0.187,15:59:00,10.12,126.8,0,,,36.59,19:08:00,0,00:00:00,0,00:00:00,12.76,,,,,2.35658,1.21824,2.14914
ctz01,1999-01-08,0.961,8.62,13:44:00,-5.056,02:37:00,0.282,0.729,05:48:00,0.203,13:14:00,10.57,252.6,0,,,38.83,02:29:00,0,00:00:00,0,00:00:00,12.78,,,,,3.10307,1.90004,2.82215
ctz01,1999-01-09,-0.845,9.34,13:50:00,-10.5,06:04:00,0.236,0.72,06:04:00,0.206,13:28:00,10.68,174.2,0,,,7.66,22:45:00,0,00:00:00,0,00:00:00,12.78,,,,,2.63215,1.73705,2.20374
ctz01,1999-01-10,1.234,12.14,13:42:00,-8.41,03:21:00,0.305,0.82,03:24:00,0.233,13:34:00,10.67,170.7,0,,,5.171,01:55:00,0,00:00:00,0,00:00:00,12.76,,,,,2.79756,1.60664,2.38457
ctz01,1999-01-11,1.151,11.42,15:23:00,-7.96,07:06:00,0.323,0.817,08:08:00,0.259,15:14:00,10.2,100.2,0,,,37.33,07:27:00,0,00:00:00,0,00:00:00,12.78,,,,,1.91889,1.15297,1.7922
ctz01,1999-01-12,2.545,10.55,11:34:00,-4.003,00:00:00,0.353,0.8,23:41:00,0.234,11:36:00,8.05,127.9,0,,,38.92,02:12:00,0,00:00:00,0,00:00:00,12.79,,,,,2.18181,1.12262,1.86124
ctz01,1999-01-13,-0.022,9.75,14:07:00,-8.41,06:44:00,0.348,0.892,03:36:00,0.297,14:09:00,10.32,179.8,0,,,36.44,08:35:00,0,00:00:00,0,00:00:00,12.8,,,,,2.39022,1.54061,2.12563
ctz01,1999-01-14,-2.273,8.06,15:10:00,-11.18,07:27:00,0.266,0.835,05:47:00,0.225,11:49:00,10.44,142.1,0,,,-15.62,05:35:00,0,00:00:00,0,00:00:00,12.77,,,,,2.14196,1.4753,1.88885
ctz01,1999-01-15,-0.386,8.02,13:20:00,-9.18,06:51:00,0.238,0.728,01:26:00,0.191,15:23:00,6.673,103.7,0,,,0.672,07:26:00,0,00:00:00,0,00:00:00,12.79,,,,,1.87064,1.16038,1.57598
ctz01,1999-01-16,-1.648,5.973,12:06:00,-7.55,06:22:00,0.344,0.892,23:48:00,0.323,12:07:00,3.86,116.3,0,,,3.769,06:25:00,0,00:00:00,0,00:00:00,12.79,,,,,1.51385,0.777536,1.11676
ctz01,1999-01-17,1.884,11.64,16:17:00,-7.45,01:30:00,0.379,0.912,01:32:00,0.285,14:53:00,11,112.6,0,,,,,0,00:00:00,0,00:00:00,12.8,,,,,2.03156,1.07286,2.0932
ctz01,1999-01-18,5.463,13.33,12:15:00,-2.92,04:55:00,0.444,0.776,07:46:00,0.312,12:40:00,9.41,109.4,0,,,-12.35,00:30:00,0,00:00:00,0,00:00:00,12.8,,,,,2.12577,0.920748,2.18713
ctz01,1999-01-19,6.6,13.97,14:54:00,-3.976,06:52:00,0.465,0.853,07:17:00,0.298,14:58:00,10.06,121.1,0,,,39.82,06:30:00,0,00:00:00,0,00:00:00,12.81,,,,,2.31284,1.19511,2.53026
ctz01,1999-01-20,2.384,8.09,10:30:00,-0.758,07:21:00,0.614,0.977,14:35:00,0.463,10:53:00,3.361,99.9,6.096,,,,,0,00:00:00,0,00:00:00,12.83,,,,,1.17841,0.606816,0.584032
ctz01,1999-01-21,1.213,4.64,02:18:00,-1.843,23:29:00,0.498,0.983,09:00:00,0.494,15:07:00,7.09,323.3,5.08,,,,,0,00:00:00,0,00:00:00,12.83,,,,,1.78673,1.40768,1.32147
ctz01,1999-01-22,-0.895,5.184,14:20:00,-5.884,23:35:00,0.345,0.851,22:49:00,0.36,14:51:00,12.14,290.9,0,,,,,0,00:00:00,0,00:00:00,12.78,,,,,2.36721,1.87525,2.10652
ctz01,1999-01-23,1.41,10.26,15:12:00,-8.77,07:26:00,0.332,0.853,07:09:00,0.255,12:23:00,11.72,119.8,0,,,,,0,00:00:00,0,00:00:00,12.83,,,,,2.1399,1.41643,2.09593
ctz01,1999-01-24,8.22,11.91,13:57:00,3.049,07:04:00,0.341,0.534,20:16:00,0.196,12:41:00,6.178,186.4,0,,,,,0,00:00:00,0,00:00:00,12.83,,,,,3.38869,1.24325,2.94241
ctz01,1999-01-25,11.23,12.36,12:15:00,6.491,04:14:00,0.313,0.409,04:13:00,0.184,16:23:00,4.21,401.5,0,,,,,0,00:00:00,0,00:00:00,12.84,,,,,5.81554,2.70856,4.77395
ctz01,1999-01-26,2.843,11.3,01:50:00,-2.078,19:35:00,0.406,0.9,05:47:00,0.213,00:04:00,5.571,269.6,0,,,,,0,00:00:00,0,00:00:00,12.85,,,,,3.43693,1.99354,1.8818
ctz01,1999-01-27,-0.889,4.513,12:38:00,-5.335,23:38:00,0.379,0.893,21:42:00,0.357,12:53:00,8.42,117.3,0,,,,,0,00:00:00,0,00:00:00,12.8,,,,,1.48795,1.47011,1.36199
ctz01,1999-01-28,-2.023,7.45,13:46:00,-9.72,07:06:00,0.27,0.868,02:10:00,0.2,13:56:00,13.02,178.2,0,,,39.3,07:21:00,0,00:00:00,0,00:00:00,12.78,,,,,2.51566,1.95798,2.30805
ctz01,1999-01-29,-0.045,9.83,14:45:00,-7.32,06:30:00,0.239,0.678,04:18:00,0.158,16:10:00,13.28,165.7,0,,,39.58,06:30:00,0,00:00:00,0,00:00:00,12.78,,,,,2.91654,1.80239,2.59897
ctz01,1999-01-30,-1.982,7.3,14:15:00,-10.06,07:14:00,0.256,0.827,07:15:00,0.212,16:25:00,12.88,127.4,0,,,39.11,07:14:00,0,00:00:00,0,00:00:00,12.77,,,,,2.11882,1.47738,2.07791
ctz01,1999-01-31,2.775,12.98,15:45:00,-7.86,06:50:00,0.239,0.812,02:50:00,0.108,14:44:00,12.77,206.9,0,,,39.84,00:26:00,0,00:00:00,0,00:00:00,12.81,,,,,3.86355,2.09175,3.25049
ctz01,1999-02-01,2.239,8.54,14:52:00,-4.38,23:58:00,0.282,0.719,07:08:00,0.213,00:33:00,13.58,155.2,0,,,39.54,00:30:00,0,00:00:00,0,00:00:00,12.78,,,,,2.57173,1.63418,2.69477
ctz01,1999-02-02,-1.418,8.85,15:15:00,-9.32,07:56:00,0.235,0.824,04:00:00,0.121,15:47:00,13.77,155.7,0,,,39.32,07:00:00,0,00:00:00,0,00:00:00,12.77,,,,,2.75514,1.82732,2.41454
ctz01,1999-02-03,2.78,14.11,13:56:00,-5.112,06:55:00,0.262,0.698,06:54:00,0.128,14:04:00,13.6,157.6,0,,,-7.1,16:13:00,0,00:00:00,0,00:00:00,12.76,,,,,3.49511,1.93165,3.21793
ctz01,1999-02-04,4.733,11.27,15:25:00,-4.695,05:47:00,0.341,0.876,22:20:00,0.183,08:32:00,5.16,221.4,6.604,,,,,0,00:00:00,0,00:00:00,12.79,,,,,3.29328,1.6709,2.85854
ctz01,1999-02-05,4.308,8.7,15:17:00,-0.556,22:51:00,0.537,0.864,22:56:00,0.378,16:00:00,9.25,201.6,0.508,,,,,0,00:00:00,0,00:00:00,12.82,,,,,2.36211,1.34415,1.80496
ctz01,1999-02-06,0.856,4.465,13:52:00,-1.788,23:29:00,0.559,0.984,07:07:00,0.59,14:30:00,5.281,90.4,3.048,,,,,0,00:00:00,0,00:00:00,12.82,,,,,1.01029,0.797031,0.769276
ctz01,1999-02-07,2.164,11.04,15:06:00,-4.416,06:24:00,0.5,0.932,06:10:00,0.394,16:11:00,14.34,105.5,0,,,,,0,00:00:00,0,00:00:00,12.8,,,,,2.01111,1.53136,2.15718
