id,year,month,location,precip_avg,precip_min,precip_max,precip_avg_lag1,precip_min_lag1,precip_max_lag1,precip_avg_lag2,precip_min_lag2,precip_max_lag2,precip_avg_lag3,precip_min_lag3,precip_max_lag3,precip_avg_lag4,precip_min_lag4,precip_max_lag4
1,1999,1,EC,3.3019999999999996,0,6.603999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1999,1,NE,3.0875000000000004,0.254,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1999,1,NWMA,1.905,0,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,1999,1,SE,6.010000000000001,0,13.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1999,1,SLV,1.016,0,2.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1999,1,SW,6.434666666666667,0,11.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,2,EC,0,0,0,3.3019999999999996,0,6.603999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,2,NE,1.905,0,7.62,3.0875000000000004,0.254,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,2,NWMA,4.445,0,8.89,1.905,0,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,1999,2,SE,0.33866666666666667,0,1.016,6.010000000000001,0,13.204,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,2,SLV,1.27,0,2.54,1.016,0,2.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,2,SW,5.672666666666667,0,10.16,6.434666666666667,0,11.176,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1999,3,EC,3.683,0,7.366,0,0,0,3.3019999999999996,0,6.603999999999999,NA,NA,NA,NA,NA,NA
3,1999,3,NE,5.7425,0,9,1.905,0,7.62,3.0875000000000004,0.254,6,NA,NA,NA,NA,NA,NA
3,1999,3,NWMA,0.508,0,1.016,4.445,0,8.89,1.905,0,3.81,NA,NA,NA,NA,NA,NA
244,1999,3,SE,19.218666666666667,0,36.32,0.33866666666666667,0,1.016,6.010000000000001,0,13.204,NA,NA,NA,NA,NA,NA
3,1999,3,SLV,0.762,0,1.524,1.27,0,2.54,1.016,0,2.032,NA,NA,NA,NA,NA,NA
3,1999,3,SW,2.7093333333333334,1.27,5.08,5.672666666666667,0,10.16,6.434666666666667,0,11.176,NA,NA,NA,NA,NA,NA
4,1999,4,EC,36.576,0,73.152,3.683,0,7.366,0,0,0,3.3019999999999996,0,6.603999999999999,NA,NA,NA
191,1999,4,NE,83.7205,0,136.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,4,NWMA,18.669,0,37.338,0.508,0,1.016,4.445,0,8.89,1.905,0,3.81,NA,NA,NA
245,1999,4,SE,75.864,0,124.718,19.218666666666667,0,36.32,0.33866666666666667,0,1.016,6.010000000000001,0,13.204,NA,NA,NA
4,1999,4,SLV,32.891,25.65,40.132,0.762,0,1.524,1.27,0,2.54,1.016,0,2.032,NA,NA,NA
4,1999,4,SW,42.077333333333335,31.746000000000002,55.124,2.7093333333333334,1.27,5.08,5.672666666666667,0,10.16,6.434666666666667,0,11.176,NA,NA,NA
5,1999,5,EC,28.449,0,56.898,36.576,0,73.152,3.683,0,7.366,0,0,0,3.3019999999999996,0,6.603999999999999
192,1999,5,NE,40.493,0,74.928,83.7205,0,136.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
