date,year,month,location,state,units,transmode,bid_low,bid_high,pricing point,bid_avg,price_cwt,spread,price_lag,price_diff,diff_pct,price_inc,None,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,D2plus_lag1,dry_area,drought_area_pct,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,D2plus_lag2,D0_lag3,D1_lag3,D2_lag3,D3_lag3,D4_lag3,D2plus_lag3,D0_lag4,D1_lag4,D2_lag4,D3_lag4,D4_lag4,D2plus_lag4,D0,D1,D2,D3,D4,D2plus,time_period
2000-01-01,2000,1,Denver,CO,Cwt,Truck-Rail,3.56,3.56,Terminal Elevators,3.56,3.56,0,2.54,1.02,0.2865,1,0.130135,NA,NA,NA,NA,NA,NA,16.397918540408583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025525,0,0,0,0,0,1
NA,2000,1,East Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3132025,NA,NA,NA,NA,NA,NA,9.146204487011767,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.038225,0,0,0,0,0,1
NA,2000,1,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.845245,NA,NA,NA,NA,NA,NA,48.13024199914621,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.76568,0,0,0,0,0,1
NA,2000,1,North Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11735,NA,NA,NA,NA,NA,NA,2.9771089440168903,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2797625,0,0,0,0,0,1
NA,2000,1,Northeast Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6899125,NA,NA,NA,NA,NA,NA,38.7264836691399,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5961800000000004,0,0,0,0,0,1
NA,2000,1,South Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.113167499999999,NA,NA,NA,NA,NA,NA,52.763384109698386,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71142,0,0,0,0,0,1
2000-01-01,2000,1,Southeast Colorado,CO,Bushel,Truck,1.69,2.02,Country Elevators,1.855,3.4351851851851847,0.33000000000000007,2.585,-0.73,-0.3935,-1,5.005615,NA,NA,NA,NA,NA,NA,33.43458770399371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5142275,0,0,0,0,0,1
2000-02-01,2000,2,Denver,CO,Cwt,Truck-Rail,3.66,3.66,Terminal Elevators,3.66,3.66,0,3.56,0.1,0.0273,1,0.15566,0.025525,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1
NA,2000,2,East Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.345854,1.038225,0,0,0,0,0,0.04912156441963699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005576,0,0,0,0,0,1
NA,2000,2,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.083846,26.76568,0,0,0,0,0,24.324519599920446,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.527094,0,0,0,0,0,1
NA,2000,2,North Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.397120000000001,0.2797625,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1
NA,2000,2,Northeast Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.256132000000001,3.5961800000000004,0,0,0,0,0,11.091480815412284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98517,0.044796,0,0,0,0,1
NA,2000,2,South Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.914206,5.71142,0,0,0,0,0,8.410276971229395,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910378,0,0,0,0,0,1
2000-02-01,2000,2,Southeast Colorado,CO,Bushel,Truck,1.73,2.1,Country Elevators,1.915,3.5462962962962967,0.3700000000000001,1.855,0.06,0.0313,1,4.180684,2.5142275,0,0,0,0,0,44.40461499180834,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06045,0.278706,0,0,0,0,1
2000-03-01,2000,3,Denver,CO,Cwt,Truck-Rail,3.74,3.74,Terminal Elevators,3.74,3.74,0,3.66,0.08,0.0214,1,0.15566,0,0,0,0,0,0,0,0,0.025525,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1
NA,2000,3,East Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1587675,0.005576,0,0,0,0,0,1.6972971687267595,0,1.038225,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19266750000000002,0,0,0,0,0,1
NA,2000,3,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.4092275,13.527094,0,0,0,0,0,0.3627208962840765,0,26.76568,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20171250000000002,0,0,0,0,0,1
NA,2000,3,North Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.397120000000001,0,0,0,0,0,0,0,0,0.2797625,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1
NA,2000,3,Northeast Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.078865,0.98517,0.044796,0,0,0,0,13.000479210863546,0,3.5961800000000004,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2072374999999997,0,0,0,0,0,1
NA,2000,3,South Central Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.408257500000001,0.910378,0,0,0,0,0,3.846127197427338,0,5.71142,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41632749999999996,0,0,0,0,0,1
2000-03-01,2000,3,Southeast Colorado,CO,Bushel,Truck,1.77,2.14,Country Elevators,1.955,3.6203703703703702,0.3700000000000001,1.915,0.04,0.0205,1,5.7807525,3.06045,0.278706,0,0,0,0,23.126589129555946,0,2.5142275,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7390824999999999,0,0,0,0,0,1
2000-04-01,2000,4,Denver,CO,Cwt,Truck-Rail,3.84,3.84,Terminal Elevators,3.84,3.84,0,3.74,0.1,0.026,1,0.15566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025525,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1
