date,year,month,location,state,units,transmode,bid_low,bid_high,pricing point,bid_avg,price_cwt,spread,price_lag,price_diff,diff_pct,price_inc,None,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,D2plus_lag1,dry_area,drought_area_pct,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,D2plus_lag2,D0_lag3,D1_lag3,D2_lag3,D3_lag3,D4_lag3,D2plus_lag3,D0_lag4,D1_lag4,D2_lag4,D3_lag4,D4_lag4,D2plus_lag4,D0,D1,D2,D3,D4,D2plus,time_period,SPEI3_avg,SPEI3_min,SPEI3_max,SPEI3_avg_lag1,SPEI3_min_lag1,SPEI3_max_lag1,SPEI3_avg_lag2,SPEI3_min_lag2,SPEI3_max_lag2,SPEI3_avg_lag3,SPEI3_min_lag3,SPEI3_max_lag3,SPEI3_avg_lag4,SPEI3_min_lag4,SPEI3_max_lag4,SPEI4_avg,SPEI4_min,SPEI4_max,SPEI4_avg_lag1,SPEI4_min_lag1,SPEI4_max_lag1,SPEI4_avg_lag2,SPEI4_min_lag2,SPEI4_max_lag2,SPEI4_avg_lag3,SPEI4_min_lag3,SPEI4_max_lag3,SPEI4_avg_lag4,SPEI4_min_lag4,SPEI4_max_lag4,SPEI6_avg,SPEI6_min,SPEI6_max,SPEI6_avg_lag1,SPEI6_min_lag1,SPEI6_max_lag1,SPEI6_avg_lag2,SPEI6_min_lag2,SPEI6_max_lag2,SPEI6_avg_lag3,SPEI6_min_lag3,SPEI6_max_lag3,SPEI6_avg_lag4,SPEI6_min_lag4,SPEI6_max_lag4,SPEI12_avg,SPEI12_min,SPEI12_max,SPEI12_avg_lag1,SPEI12_min_lag1,SPEI12_max_lag1,SPEI12_avg_lag2,SPEI12_min_lag2,SPEI12_max_lag2,SPEI12_avg_lag3,SPEI12_min_lag3,SPEI12_max_lag3,SPEI12_avg_lag4,SPEI12_min_lag4,SPEI12_max_lag4,SPEI24_avg,SPEI24_min,SPEI24_max,SPEI24_avg_lag1,SPEI24_min_lag1,SPEI24_max_lag1,SPEI24_avg_lag2,SPEI24_min_lag2,SPEI24_max_lag2,SPEI24_avg_lag3,SPEI24_min_lag3,SPEI24_max_lag3,SPEI24_avg_lag4,SPEI24_min_lag4,SPEI24_max_lag4
2000-01-01,2000,1,Denver,CO,Cwt,Truck-Rail,3.56,3.56,Terminal Elevators,3.56,3.56,0,2.54,1.02,0.2865,1,0.130135,NA,NA,NA,NA,NA,NA,16.397918540408583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025525,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-01,2000,1,Southeast Colorado,CO,Bushel,Truck,1.69,2.02,Country Elevators,1.855,3.4351851851851847,0.33000000000000007,2.585,-0.73,-0.3935,-1,5.005615,NA,NA,NA,NA,NA,NA,33.43458770399371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5142275,0,0,0,0,0,1,-1.58693375,-1.879599,-1.288647,-0.3967345,-1.304834,0.926154,-0.26030025,-0.965404,1.439407,0.9081899999999999,0.343006,1.55008,0.7902555,0.150138,1.767799,-0.50691475,-1.351279,0.831701,-0.33198025000000003,-1.169222,1.203272,0.54719025,-0.135411,1.32281,0.8775745,-0.015248,1.528276,0.55339175,-0.059557,1.488184,0.39910975,-0.381081,1.167641,0.57245875,-0.302702,1.210736,0.4316795,-0.217061,1.076385,1.05469275,0.369089,1.643765,1.25481475,0.918998,1.912833,0.962847,0.457848,1.490966,0.99310075,0.481216,1.422999,0.98857075,0.342105,1.451815,1.360875,0.998136,1.669697,1.5131367500000001,1.126009,1.879293,1.435509,0.994701,2.146887,1.414819,1.000987,2.14568,1.5062425,0.99318,2.243203,1.672821,1.370234,2.263849,1.90374625,1.462598,2.222473
2000-02-01,2000,2,Denver,CO,Cwt,Truck-Rail,3.66,3.66,Terminal Elevators,3.66,3.66,0,3.56,0.1,0.0273,1,0.15566,0.025525,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-02-01,2000,2,Southeast Colorado,CO,Bushel,Truck,1.73,2.1,Country Elevators,1.915,3.5462962962962967,0.3700000000000001,1.855,0.06,0.0313,1,4.180684,2.5142275,0,0,0,0,0,44.40461499180834,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06045,0.278706,0,0,0,0,1,-1.31554,-1.557336,-0.990439,-1.58693375,-1.879599,-1.288647,-0.3967345,-1.304834,0.926154,-0.26030025,-0.965404,1.439407,0.9081899999999999,0.343006,1.55008,-2.0514305,-2.46647,-1.516181,-0.50691475,-1.351279,0.831701,-0.33198025000000003,-1.169222,1.203272,0.54719025,-0.135411,1.32281,0.8775745,-0.015248,1.528276,-0.74493275,-1.46825,0.773734,0.39910975,-0.381081,1.167641,0.57245875,-0.302702,1.210736,0.4316795,-0.217061,1.076385,1.05469275,0.369089,1.643765,0.95955725,0.416828,1.532041,0.962847,0.457848,1.490966,0.99310075,0.481216,1.422999,0.98857075,0.342105,1.451815,1.360875,0.998136,1.669697,1.35503025,0.806483,2.06387,1.435509,0.994701,2.146887,1.414819,1.000987,2.14568,1.5062425,0.99318,2.243203,1.672821,1.370234,2.263849
2000-03-01,2000,3,Denver,CO,Cwt,Truck-Rail,3.74,3.74,Terminal Elevators,3.74,3.74,0,3.66,0.08,0.0214,1,0.15566,0,0,0,0,0,0,0,0,0.025525,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-03-01,2000,3,Southeast Colorado,CO,Bushel,Truck,1.77,2.14,Country Elevators,1.955,3.6203703703703702,0.3700000000000001,1.915,0.04,0.0205,1,5.7807525,3.06045,0.278706,0,0,0,0,23.126589129555946,0,2.5142275,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7390824999999999,0,0,0,0,0,1,0.24806224999999998,-0.54791,1.457015,-1.31554,-1.557336,-0.990439,-1.58693375,-1.879599,-1.288647,-0.3967345,-1.304834,0.926154,-0.26030025,-0.965404,1.439407,0.03528049999999998,-0.92088,1.110676,-2.0514305,-2.46647,-1.516181,-0.50691475,-1.351279,0.831701,-0.33198025000000003,-1.169222,1.203272,0.54719025,-0.135411,1.32281,-0.2234995,-1.33122,1.301976,-0.74493275,-1.46825,0.773734,0.39910975,-0.381081,1.167641,0.57245875,-0.302702,1.210736,0.4316795,-0.217061,1.076385,1.09528625,0.426256,1.496334,0.95955725,0.416828,1.532041,0.962847,0.457848,1.490966,0.99310075,0.481216,1.422999,0.98857075,0.342105,1.451815,1.31278875,0.847721,2.070132,1.35503025,0.806483,2.06387,1.435509,0.994701,2.146887,1.414819,1.000987,2.14568,1.5062425,0.99318,2.243203
2000-04-01,2000,4,Denver,CO,Cwt,Truck-Rail,3.84,3.84,Terminal Elevators,3.84,3.84,0,3.74,0.1,0.026,1,0.15566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025525,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-04-01,2000,4,Southeast Colorado,CO,Bushel,Truck,1.78,2.17,Country Elevators,1.975,3.657407407407408,0.3899999999999999,1.955,0.02,0.0101,1,7.519839999999999,1.7390824999999999,0,0,0,0,0,0,0,3.06045,0.278706,0,0,0,0,2.5142275,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0.16435675,-0.470559,0.967312,0.24806224999999998,-0.54791,1.457015,-1.31554,-1.557336,-0.990439,-1.58693375,-1.879599,-1.288647,-0.3967345,-1.304834,0.926154,0.03976299999999998,-0.534108,0.853285,0.03528049999999998,-0.92088,1.110676,-2.0514305,-2.46647,-1.516181,-0.50691475,-1.351279,0.831701,-0.33198025000000003,-1.169222,1.203272,-0.5235735,-1.132055,0.174471,-0.2234995,-1.33122,1.301976,-0.74493275,-1.46825,0.773734,0.39910975,-0.381081,1.167641,0.57245875,-0.302702,1.210736,0.73505125,0.186912,1.130055,1.09528625,0.426256,1.496334,0.95955725,0.416828,1.532041,0.962847,0.457848,1.490966,0.99310075,0.481216,1.422999,1.19817975,0.537591,1.892665,1.31278875,0.847721,2.070132,1.35503025,0.806483,2.06387,1.435509,0.994701,2.146887,1.414819,1.000987,2.14568
2000-05-01,2000,5,Denver,CO,Cwt,Truck-Rail,3.96,3.96,Terminal Elevators,3.96,3.96,0,3.84,0.12,0.0303,1,0.15566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025525,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-05-01,2000,5,Southeast Colorado,CO,Bushel,Truck,1.86,2.29,Country Elevators,2.075,3.8425925925925926,0.42999999999999994,1.975,0.1,0.0482,1,7.519839999999999,0,0,0,0,0,0,0,0,1.7390824999999999,0,0,0,0,0,3.06045,0.278706,0,0,0,0,2.5142275,0,0,0,0,0,0,0,0,0,0,0,1,-0.1270665,-0.658516,0.326841,0.16435675,-0.470559,0.967312,0.24806224999999998,-0.54791,1.457015,-1.31554,-1.557336,-0.990439,-1.58693375,-1.879599,-1.288647,-0.442585,-0.943218,0.197726,0.03976299999999998,-0.534108,0.853285,0.03528049999999998,-0.92088,1.110676,-2.0514305,-2.46647,-1.516181,-0.50691475,-1.351279,0.831701,-0.5592685,-1.105624,0.005868,-0.5235735,-1.132055,0.174471,-0.2234995,-1.33122,1.301976,-0.74493275,-1.46825,0.773734,0.39910975,-0.381081,1.167641,0.034895249999999996,-0.236165,0.319909,0.73505125,0.186912,1.130055,1.09528625,0.426256,1.496334,0.95955725,0.416828,1.532041,0.962847,0.457848,1.490966,1.19432875,0.658082,1.708486,1.19817975,0.537591,1.892665,1.31278875,0.847721,2.070132,1.35503025,0.806483,2.06387,1.435509,0.994701,2.146887
