year,month,location,state,class,grade,units,bid_low,bid_high,date,bid_avg,spread,quality,price_lag,date_diff,price_diff,price_diff_adj,diff_pct,diff_pct_adj,price_inc,price_dev,dev_cat,None,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,D2plus_lag1,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,D2plus_lag2,D0_lag3,D1_lag3,D2_lag3,D3_lag3,D4_lag3,D2plus_lag3,D0_lag4,D1_lag4,D2_lag4,D3_lag4,D4_lag4,D2plus_lag4,D0,D1,D2,D3,D4,D2plus
2000,1,Mountains and Northwest,CO,ALFALFA,GOOD,Ton,75,75,2000-01-01,75,0,ALFALFA_GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,GRASS,FAIR,Ton,50,60,2000-01-01,55,10,GRASS_FAIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,GRASS,GOOD,Ton,60,70,2000-01-01,65,10,GRASS_GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,GRASS,PREMIUM,Ton,90,95,2000-01-01,92.5,5,GRASS_PREMIUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,ALFALFA,GOOD,Ton,75,75,2000-01-01,75,0,ALFALFA_GOOD,75,0,0,0,0,0,0,0,0,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,ALFALFA,PREMIUM,Ton,80,80,2000-01-01,80,0,ALFALFA_PREMIUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,2,Mountains and Northwest,CO,ALFALFA,GOOD,Ton,75,75,2000-02-01,75,0,ALFALFA_GOOD,75,1,0,0,0,0,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,GRASS,FAIR,Ton,50,60,2000-02-01,55,10,GRASS_FAIR,55,1,0,0,0,0,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,GRASS,GOOD,Ton,60,70,2000-02-01,65,10,GRASS_GOOD,65,1,0,0,0,0,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,GRASS,PREMIUM,Ton,90,95,2000-02-01,92.5,5,GRASS_PREMIUM,92.5,1,0,0,0,0,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,ALFALFA,GOOD,Ton,75,75,2000-02-01,75,0,ALFALFA_GOOD,75,0,0,0,0,0,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
