County,ams_hay_region,ams_corn_region
Adams,Northeast Colorado,North Central Colorado
Alamosa,San Luis Valley,None
Arapahoe,Northeast Colorado,North Central Colorado
Archuleta,South Western Colorado,None
Baca,Southeast Colorado,Southeast Colorado
Bent,Southeast Colorado,Southeast Colorado
Boulder,Northeast Colorado,North Central Colorado
Broomfield,Northeast Colorado,None
Chaffee,Mountains and Northwest,None
Cheyenne,Northeast Colorado,East Central Colorado
Clear Creek,Mountains and Northwest,None
Conejos,San Luis Valley,None
Costilla,San Luis Valley,None
Crowley,Southeast Colorado,South Central Colorado
Custer,Southeast Colorado,None
Delta,South Western Colorado,None
Denver,Northeast Colorado,Denver
Dolores,South Western Colorado,None
Douglas,Northeast Colorado,East Central Colorado
Eagle,Mountains and Northwest,None
El Paso,Northeast Colorado,East Central Colorado
Elbert,Northeast Colorado,East Central Colorado
Fremont,Southeast Colorado,None
Garfield,Mountains and Northwest,None
Gilpin,Mountains and Northwest,None
Grand,Mountains and Northwest,None
Gunnison,Mountains and Northwest,None
Hinsdale,South Western Colorado,None
Huerfano,Southeast Colorado,South Central Colorado
Jackson,Mountains and Northwest,None
Jefferson,Northeast Colorado,None
Kiowa,Northeast Colorado,Southeast Colorado
Kit Carson,Northeast Colorado,East Central Colorado
La Plata,South Western Colorado,None
Lake,Mountains and Northwest,None
Larimer,Northeast Colorado,North Central Colorado
Las Animas,Southeast Colorado,South Central Colorado
Lincoln,Northeast Colorado,East Central Colorado
Logan,Northeast Colorado,Northeast Colorado
Mesa,South Western Colorado,None
Mineral,San Luis Valley,None
Moffat,Mountains and Northwest,None
Montezuma,South Western Colorado,None
Montrose,South Western Colorado,None
Morgan,Northeast Colorado,Northeast Colorado
Otero,Southeast Colorado,South Central Colorado
Ouray,South Western Colorado,None
Park,Mountains and Northwest,None
Phillips,Northeast Colorado,Northeast Colorado
Pitkin,Mountains and Northwest,None
Prowers,Southeast Colorado,Southeast Colorado
Pueblo,Southeast Colorado,South Central Colorado
Rio Blanco,Mountains and Northwest,None
Rio Grande,San Luis Valley,None
Routt,Mountains and Northwest,None
Saguache,San Luis Valley,None
San Juan,South Western Colorado,None
San Miguel,South Western Colorado,None
Sedgwick,Northeast Colorado,Northeast Colorado
Summit,Mountains and Northwest,None
Teller,Mountains and Northwest,None
Washington,Northeast Colorado,Northeast Colorado
Weld,Northeast Colorado,North Central Colorado
Yuma,Northeast Colorado,Northeast Colorado
