FIPS,County,ams_hay_region,ams_corn_region
8001,Adams,Northeast Colorado,North Central Colorado
8003,Alamosa,San Luis Valley,None
8005,Arapahoe,Northeast Colorado,North Central Colorado
8007,Archuleta,South Western Colorado,None
8009,Baca,Southeast Colorado,Southeast Colorado
8011,Bent,Southeast Colorado,Southeast Colorado
8013,Boulder,Northeast Colorado,North Central Colorado
8014,Broomfield,Northeast Colorado,None
8015,Chaffee,Mountains and Northwest,None
8017,Cheyenne,Northeast Colorado,East Central Colorado
8019,Clear Creek,Mountains and Northwest,None
8021,Conejos,San Luis Valley,None
8023,Costilla,San Luis Valley,None
8025,Crowley,Southeast Colorado,South Central Colorado
8027,Custer,Southeast Colorado,None
8029,Delta,South Western Colorado,None
8031,Denver,Northeast Colorado,Denver
8033,Dolores,South Western Colorado,None
8035,Douglas,Northeast Colorado,East Central Colorado
8037,Eagle,Mountains and Northwest,None
8041,El Paso,Northeast Colorado,East Central Colorado
8039,Elbert,Northeast Colorado,East Central Colorado
8043,Fremont,Southeast Colorado,None
8045,Garfield,Mountains and Northwest,None
8047,Gilpin,Mountains and Northwest,None
8049,Grand,Mountains and Northwest,None
8051,Gunnison,Mountains and Northwest,None
8053,Hinsdale,South Western Colorado,None
8055,Huerfano,Southeast Colorado,South Central Colorado
8057,Jackson,Mountains and Northwest,None
8059,Jefferson,Northeast Colorado,None
8061,Kiowa,Northeast Colorado,Southeast Colorado
8063,Kit Carson,Northeast Colorado,East Central Colorado
8067,La Plata,South Western Colorado,None
8065,Lake,Mountains and Northwest,None
8069,Larimer,Northeast Colorado,North Central Colorado
8071,Las Animas,Southeast Colorado,South Central Colorado
8073,Lincoln,Northeast Colorado,East Central Colorado
8075,Logan,Northeast Colorado,Northeast Colorado
8077,Mesa,South Western Colorado,None
8079,Mineral,San Luis Valley,None
8081,Moffat,Mountains and Northwest,None
8083,Montezuma,South Western Colorado,None
8085,Montrose,South Western Colorado,None
8087,Morgan,Northeast Colorado,Northeast Colorado
8089,Otero,Southeast Colorado,South Central Colorado
8091,Ouray,South Western Colorado,None
8093,Park,Mountains and Northwest,None
8095,Phillips,Northeast Colorado,Northeast Colorado
8097,Pitkin,Mountains and Northwest,None
8099,Prowers,Southeast Colorado,Southeast Colorado
8101,Pueblo,Southeast Colorado,South Central Colorado
8103,Rio Blanco,Mountains and Northwest,None
8105,Rio Grande,San Luis Valley,None
8107,Routt,Mountains and Northwest,None
8109,Saguache,San Luis Valley,None
8111,San Juan,South Western Colorado,None
8113,San Miguel,South Western Colorado,None
8115,Sedgwick,Northeast Colorado,Northeast Colorado
8117,Summit,Mountains and Northwest,None
8119,Teller,Mountains and Northwest,None
8121,Washington,Northeast Colorado,Northeast Colorado
8123,Weld,Northeast Colorado,North Central Colorado
8125,Yuma,Northeast Colorado,Northeast Colorado
